County,State,Population,Total_cases,Total_deaths
Autauga,Alabama,55869,9780,142
Baldwin,Alabama,223234,36579,518
Barbour,Alabama,24686,3519,71
Bibb,Alabama,22394,4157,83
Blount,Alabama,57826,9870,162
Bullock,Alabama,10101,1507,44
Butler,Alabama,19448,3210,91
Calhoun,Alabama,113605,21719,433
Chambers,Alabama,33254,5493,138
Cherokee,Alabama,26196,2950,57
Chilton,Alabama,44428,6476,146
Choctaw,Alabama,12589,777,27
Clarke,Alabama,23622,4687,80
Clay,Alabama,13235,2326,66
Cleburne,Alabama,14910,2434,53
Coffee,Alabama,52342,9065,183
Colbert,Alabama,55241,8640,187
Conecuh,Alabama,12067,1835,49
Coosa,Alabama,10663,1741,36
Covington,Alabama,37049,6550,170
Crenshaw,Alabama,13772,2410,72
Cullman,Alabama,83768,14938,278
Dale,Alabama,49172,8735,178
Dallas,Alabama,37196,4760,190
DeKalb,Alabama,71513,12343,248
Elmore,Alabama,81209,14709,273
Escambia,Alabama,36633,6646,124
Etowah,Alabama,102268,19564,474
Fayette,Alabama,16302,2836,74
Franklin,Alabama,31362,5876,103
Geneva,Alabama,26271,4498,121
Greene,Alabama,8111,1228,44
Hale,Alabama,14651,2943,86
Henry,Alabama,17205,3058,61
Houston,Alabama,105882,17040,391
Jackson,Alabama,51626,9551,164
Jefferson,Alabama,658573,112903,1815
Lamar,Alabama,13805,2025,45
Lauderdale,Alabama,92729,13786,284
Lawrence,Alabama,32924,4173,109
Lee,Alabama,164542,22910,228
Limestone,Alabama,98915,14882,193
Lowndes,Alabama,9726,1719,60
Macon,Alabama,18068,2246,58
Madison,Alabama,372909,51041,649
Marengo,Alabama,18863,3292,88
Marion,Alabama,29709,4873,125
Marshall,Alabama,96774,18042,282
Mobile,Alabama,413210,71400,1269
Monroe,Alabama,20733,3241,58
Montgomery,Alabama,226486,33540,694
Morgan,Alabama,119679,20202,346
Out of AL,Alabama,0,0,0
Perry,Alabama,8923,1368,38
Pickens,Alabama,19930,3101,77
Pike,Alabama,33114,4668,101
Randolph,Alabama,22722,3191,58
Russell,Alabama,57961,6160,57
Shelby,Alabama,217702,36773,322
St. Clair,Alabama,89512,15653,326
Sumter,Alabama,12427,1256,37
Talladega,Alabama,79978,13303,253
Tallapoosa,Alabama,40367,6828,189
Tuscaloosa,Alabama,209355,34420,567
Unassigned,Alabama,0,0,0
Walker,Alabama,63521,10791,341
Washington,Alabama,16326,2477,49
Wilcox,Alabama,10373,1641,37
Winston,Alabama,23629,4337,98
Aleutians East,Alaska,3337,430,3
Aleutians West,Alaska,5634,913,1
Anchorage,Alaska,288000,48255,279
Bethel,Alaska,18386,5196,25
Bristol Bay,Alaska,836,0,0
Bristol Bay plus Lake and Peninsula,Alaska,1592,370,0
Chugach,Alaska,6751,948,3
Copper River,Alaska,2699,479,1
Denali,Alaska,2097,239,1
Dillingham,Alaska,4916,616,5
Fairbanks North Star,Alaska,96849,13125,66
Haines,Alaska,2530,216,0
Hoonah-Angoon,Alaska,2148,0,0
Juneau,Alaska,31974,3281,9
Kenai Peninsula,Alaska,58708,8948,43
Ketchikan Gateway,Alaska,13901,1475,8
Kodiak Island,Alaska,12998,2128,7
Kusilvak,Alaska,8314,1810,5
Matanuska-Susitna,Alaska,108317,18237,84
Nome,Alaska,10004,1070,0
North Slope,Alaska,9832,2338,5
Northwest Arctic,Alaska,7621,1267,4
Out of AK,Alaska,0,0,0
Petersburg,Alaska,3266,255,3
Prince of Wales-Hyder,Alaska,6203,468,5
Sitka,Alaska,8493,1124,5
Skagway,Alaska,1183,72,0
Southeast Fairbanks,Alaska,6893,1060,9
Unassigned,Alaska,0,485,0
Valdez-Cordova,Alaska,9202,0,0
Wrangell,Alaska,2502,142,0
Yakutat,Alaska,579,164,2
Yukon-Koyukuk,Alaska,5230,592,5
,American Samoa,55641,0,0
Apache,Arizona,71887,13172,474
Cochise,Arizona,125922,14494,330
Coconino,Arizona,143476,21564,349
Gila,Arizona,54018,9058,262
Graham,Arizona,38837,7025,101
Greenlee,Arizona,9498,976,15
La Paz,Arizona,21108,3040,92
Maricopa,Arizona,4485414,700319,11558
Mohave,Arizona,212181,31476,936
Navajo,Arizona,110924,19857,598
Out of AZ,Arizona,0,0,0
Pima,Arizona,1047279,136151,2660
Pinal,Arizona,462789,69272,1022
Santa Cruz,Arizona,46498,8824,190
Unassigned,Arizona,0,0,0
Yavapai,Arizona,235099,26387,645
Yuma,Arizona,213787,40807,905
Arkansas,Arkansas,17486,3397,56
Ashley,Arkansas,19657,3109,42
Baxter,Arkansas,41932,5701,170
Benton,Arkansas,279141,40914,580
Boone,Arkansas,37432,6054,114
Bradley,Arkansas,10763,1930,37
Calhoun,Arkansas,5189,583,7
Carroll,Arkansas,28380,4202,67
Chicot,Arkansas,10118,1993,44
Clark,Arkansas,22320,3133,51
Clay,Arkansas,14551,2623,59
Cleburne,Arkansas,24919,3567,88
Cleveland,Arkansas,7956,1356,32
Columbia,Arkansas,23457,3305,66
Conway,Arkansas,20846,3091,42
Craighead,Arkansas,110332,20918,236
Crawford,Arkansas,63257,10380,165
Crittenden,Arkansas,47955,8553,123
Cross,Arkansas,16419,2849,59
Dallas,Arkansas,7009,1122,18
Desha,Arkansas,11361,1842,29
Drew,Arkansas,18219,2811,54
Faulkner,Arkansas,126007,19049,214
Franklin,Arkansas,17715,2664,52
Fulton,Arkansas,12477,1654,55
Garland,Arkansas,99386,15654,372
Grant,Arkansas,18265,2831,47
Greene,Arkansas,45325,9732,116
Hempstead,Arkansas,21532,2852,26
Hot Spring,Arkansas,33771,7396,105
Howard,Arkansas,13202,2337,30
Independence,Arkansas,37825,6040,152
Izard,Arkansas,13629,2398,55
Jackson,Arkansas,16719,4041,42
Jefferson,Arkansas,66824,12221,225
Johnson,Arkansas,26578,4462,56
Lafayette,Arkansas,6624,821,13
Lawrence,Arkansas,16406,3160,53
Lee,Arkansas,8857,2052,47
Lincoln,Arkansas,13024,3621,55
Little River,Arkansas,12259,1956,47
Logan,Arkansas,21466,3474,36
Lonoke,Arkansas,73309,11659,171
Madison,Arkansas,16576,2417,35
Marion,Arkansas,16694,2091,55
Miller,Arkansas,43257,6243,47
Mississippi,Arkansas,40651,8007,130
Monroe,Arkansas,6701,1173,21
Montgomery,Arkansas,8986,1105,41
Nevada,Arkansas,8252,1308,30
Newton,Arkansas,7753,1150,34
Ouachita,Arkansas,23382,3361,75
Out of AR,Arkansas,0,0,0
Perry,Arkansas,10455,1469,20
Phillips,Arkansas,17782,3120,71
Pike,Arkansas,10718,1646,35
Poinsett,Arkansas,23528,4770,97
Polk,Arkansas,19964,2876,101
Pope,Arkansas,64072,11665,150
Prairie,Arkansas,8062,1271,28
Pulaski,Arkansas,391911,57584,880
Randolph,Arkansas,17958,3179,51
Saline,Arkansas,122437,18134,237
Scott,Arkansas,10281,1667,25
Searcy,Arkansas,7881,1233,24
Sebastian,Arkansas,127827,21674,347
Sevier,Arkansas,17007,3711,36
Sharp,Arkansas,17442,2716,62
St. Francis,Arkansas,24994,4688,59
Stone,Arkansas,12506,1618,40
Unassigned,Arkansas,0,5123,0
Union,Arkansas,38682,5532,128
Van Buren,Arkansas,16545,2121,37
Washington,Arkansas,239187,43510,455
White,Arkansas,78753,12795,182
Woodruff,Arkansas,6320,1066,23
Yell,Arkansas,21341,4532,76
Alameda,California,1671329,117998,1349
Alpine,California,1129,102,0
Amador,California,39752,5166,61
Butte,California,219186,22456,243
Calaveras,California,45905,3634,72
Colusa,California,21547,2968,18
Contra Costa,California,1153526,97417,933
Del Norte,California,27812,3495,39
El Dorado,California,192843,16470,136
Fresno,California,999101,139735,1964
Glenn,California,28393,4172,30
Humboldt,California,135558,8686,98
