,FIPS,Admin2,Province_State,3/31/21
0,1001,Autauga,Alabama,6589
1,1003,Baldwin,Alabama,20505
2,1005,Barbour,Alabama,2227
3,1007,Bibb,Alabama,2542
4,1009,Blount,Alabama,6444
5,1011,Bullock,Alabama,1207
6,1013,Butler,Alabama,2097
7,1015,Calhoun,Alabama,14224
8,1017,Chambers,Alabama,3488
9,1019,Cherokee,Alabama,1806
10,1021,Chilton,Alabama,4034
11,1023,Choctaw,Alabama,583
12,1025,Clarke,Alabama,3459
13,1027,Clay,Alabama,1481
14,1029,Cleburne,Alabama,1452
15,1031,Coffee,Alabama,5384
16,1033,Colbert,Alabama,6170
17,1035,Conecuh,Alabama,1086
18,1037,Coosa,Alabama,942
19,1039,Covington,Alabama,4041
20,1041,Crenshaw,Alabama,1502
21,1043,Cullman,Alabama,9380
22,1045,Dale,Alabama,4760
23,1047,Dallas,Alabama,3513
24,1049,DeKalb,Alabama,8696
25,1051,Elmore,Alabama,9953
26,1053,Escambia,Alabama,3860
27,1055,Etowah,Alabama,13647
28,1057,Fayette,Alabama,2063
29,1059,Franklin,Alabama,4185
30,1061,Geneva,Alabama,2446
31,1063,Greene,Alabama,904
32,1065,Hale,Alabama,2162
33,1067,Henry,Alabama,1867
34,1069,Houston,Alabama,10332
35,1071,Jackson,Alabama,6724
36,1073,Jefferson,Alabama,74710
37,1075,Lamar,Alabama,1384
38,1077,Lauderdale,Alabama,9140
39,1079,Lawrence,Alabama,2926
40,1081,Lee,Alabama,15417
41,1083,Limestone,Alabama,9744
42,1085,Lowndes,Alabama,1362
43,1087,Macon,Alabama,1537
44,1089,Madison,Alabama,33533
45,1091,Marengo,Alabama,2495
46,1093,Marion,Alabama,3062
47,1095,Marshall,Alabama,11854
48,1097,Mobile,Alabama,37492
49,1099,Monroe,Alabama,1704
50,1101,Montgomery,Alabama,23743
51,1103,Morgan,Alabama,14131
52,80001,Out of AL,Alabama,0
53,1105,Perry,Alabama,1079
54,1107,Pickens,Alabama,2323
55,1109,Pike,Alabama,3042
56,1111,Randolph,Alabama,1752
57,1113,Russell,Alabama,4230
58,1117,Shelby,Alabama,23048
59,1115,St. Clair,Alabama,9350
60,1119,Sumter,Alabama,1024
61,1121,Talladega,Alabama,7987
62,1123,Tallapoosa,Alabama,3847
63,1125,Tuscaloosa,Alabama,25059
64,90001,Unassigned,Alabama,0
65,1127,Walker,Alabama,7058
66,1129,Washington,Alabama,1639
67,1131,Wilcox,Alabama,1244
68,1133,Winston,Alabama,2717
69,2013,Aleutians East,Alaska,364
70,2016,Aleutians West,Alaska,652
71,2020,Anchorage,Alaska,28397
72,2050,Bethel,Alaska,3767
73,2060,Bristol Bay,Alaska,0
74,2164,Bristol Bay plus Lake and Peninsula,Alaska,185
75,2063,Chugach,Alaska,332
76,2066,Copper River,Alaska,230
77,2068,Denali,Alaska,88
78,2070,Dillingham,Alaska,208
79,2090,Fairbanks North Star,Alaska,6640
80,2100,Haines,Alaska,29
81,2105,Hoonah-Angoon,Alaska,0
82,2110,Juneau,Alaska,1294
83,2122,Kenai Peninsula,Alaska,4142
84,2130,Ketchikan Gateway,Alaska,390
85,2150,Kodiak Island,Alaska,1076
86,2158,Kusilvak,Alaska,1220
87,2170,Matanuska-Susitna,Alaska,9967
88,2180,Nome,Alaska,338
89,2185,North Slope,Alaska,1050
90,2188,Northwest Arctic,Alaska,598
91,80002,Out of AK,Alaska,0
92,2195,Petersburg,Alaska,153
93,2198,Prince of Wales-Hyder,Alaska,85
94,2220,Sitka,Alaska,333
95,2230,Skagway,Alaska,20
96,2240,Southeast Fairbanks,Alaska,612
97,90002,Unassigned,Alaska,276
98,2261,Valdez-Cordova,Alaska,0
99,2275,Wrangell,Alaska,33
100,2282,Yakutat,Alaska,72
101,2290,Yukon-Koyukuk,Alaska,350
103,4001,Apache,Arizona,10959
104,4003,Cochise,Arizona,11600
105,4005,Coconino,Arizona,17076
106,4007,Gila,Arizona,6546
107,4009,Graham,Arizona,5365
108,4011,Greenlee,Arizona,563
109,4012,La Paz,Arizona,2443
110,4013,Maricopa,Arizona,524386
111,4015,Mohave,Arizona,22122
112,4017,Navajo,Arizona,15703
113,80004,Out of AZ,Arizona,0
114,4019,Pima,Arizona,112677
115,4021,Pinal,Arizona,49475
116,4023,Santa Cruz,Arizona,7818
117,90004,Unassigned,Arizona,0
118,4025,Yavapai,Arizona,18327
119,4027,Yuma,Arizona,36751
120,5001,Arkansas,Arkansas,2076
121,5003,Ashley,Arkansas,1901
122,5005,Baxter,Arkansas,3070
123,5007,Benton,Arkansas,28151
124,5009,Boone,Arkansas,3742
125,5011,Bradley,Arkansas,1356
126,5013,Calhoun,Arkansas,409
127,5015,Carroll,Arkansas,2749
128,5017,Chicot,Arkansas,1610
129,5019,Clark,Arkansas,2081
130,5021,Clay,Arkansas,1723
131,5023,Cleburne,Arkansas,1945
132,5025,Cleveland,Arkansas,938
133,5027,Columbia,Arkansas,2321
134,5029,Conway,Arkansas,2189
135,5031,Craighead,Arkansas,13081
136,5033,Crawford,Arkansas,6978
137,5035,Crittenden,Arkansas,5869
138,5037,Cross,Arkansas,1919
139,5039,Dallas,Arkansas,756
140,5041,Desha,Arkansas,1356
141,5043,Drew,Arkansas,1984
142,5045,Faulkner,Arkansas,12195
143,5047,Franklin,Arkansas,1676
144,5049,Fulton,Arkansas,1100
145,5051,Garland,Arkansas,10030
146,5053,Grant,Arkansas,1635
147,5055,Greene,Arkansas,6009
148,5057,Hempstead,Arkansas,1980
149,5059,Hot Spring,Arkansas,4998
150,5061,Howard,Arkansas,1641
151,5063,Independence,Arkansas,3715
152,5065,Izard,Arkansas,1660
153,5067,Jackson,Arkansas,3207
154,5069,Jefferson,Arkansas,8742
155,5071,Johnson,Arkansas,2879
156,5073,Lafayette,Arkansas,541
157,5075,Lawrence,Arkansas,2069
158,5077,Lee,Arkansas,1656
159,5079,Lincoln,Arkansas,3178
160,5081,Little River,Arkansas,1222
161,5083,Logan,Arkansas,2206
162,5085,Lonoke,Arkansas,7049
163,5087,Madison,Arkansas,1436
164,5089,Marion,Arkansas,1032
165,5091,Miller,Arkansas,4212
166,5093,Mississippi,Arkansas,5747
167,5095,Monroe,Arkansas,862
168,5097,Montgomery,Arkansas,750
169,5099,Nevada,Arkansas,816
170,5101,Newton,Arkansas,707
171,5103,Ouachita,Arkansas,2291
172,80005,Out of AR,Arkansas,0
173,5105,Perry,Arkansas,824
174,5107,Phillips,Arkansas,1737
175,5109,Pike,Arkansas,997
176,5111,Poinsett,Arkansas,3114
177,5113,Polk,Arkansas,1961
178,5115,Pope,Arkansas,7860
179,5117,Prairie,Arkansas,887
180,5119,Pulaski,Arkansas,38317
181,5121,Randolph,Arkansas,2061
182,5125,Saline,Arkansas,11724
183,5127,Scott,Arkansas,927
184,5129,Searcy,Arkansas,671
185,5131,Sebastian,Arkansas,15036
186,5133,Sevier,Arkansas,2778
187,5135,Sharp,Arkansas,1550
188,5123,St. Francis,Arkansas,3513
189,5137,Stone,Arkansas,982
190,90005,Unassigned,Arkansas,2791
191,5139,Union,Arkansas,3938
192,5141,Van Buren,Arkansas,1245
193,5143,Washington,Arkansas,30202
194,5145,White,Arkansas,7799
195,5147,Woodruff,Arkansas,633
196,5149,Yell,Arkansas,3406
197,6001,Alameda,California,85366
198,6003,Alpine,California,88
199,6005,Amador,California,3590
200,6007,Butte,California,13078
201,6009,Calaveras,California,2017
202,6011,Colusa,California,2173
203,6013,Contra Costa,California,66306
204,6015,Del Norte,California,1135
205,6017,El Dorado,California,10050
206,6019,Fresno,California,107822
207,6021,Glenn,California,2864
208,6023,Humboldt,California,3484
209,6025,Imperial,California,30270
210,6027,Inyo,California,1376
211,6029,Kern,California,106239
212,6031,Kings,California,23670
213,6033,Lake,California,3340
214,6035,Lassen,California,5652
215,6037,Los Angeles,California,1219614
216,6039,Madera,California,16928
217,6041,Marin,California,13847
218,6043,Mariposa,California,410
219,6045,Mendocino,California,3745
220,6047,Merced,California,30736
221,6049,Modoc,California,466
222,6051,Mono,California,1257
223,6053,Monterey,California,44149
224,6055,Napa,California,9434
225,6057,Nevada,California,4468
226,6059,Orange,California,266233
227,80006,Out of CA,California,0
228,6061,Placer,California,22190
229,6063,Plumas,California,674
230,6065,Riverside,California,297412
231,6067,Sacramento,California,99239
232,6069,San Benito,California,5972
233,6071,San Bernardino,California,294735
234,6073,San Diego,California,270287
235,6075,San Francisco,California,36642
236,6077,San Joaquin,California,72047
237,6079,San Luis Obispo,California,20872
238,6081,San Mateo,California,40862
239,6083,Santa Barbara,California,34256
240,6085,Santa Clara,California,115176
241,6087,Santa Cruz,California,16165
242,6089,Shasta,California,12728
243,6091,Sierra,California,64
244,6093,Siskiyou,California,1785
245,6095,Solano,California,31221
246,6097,Sonoma,California,29496
247,6099,Stanislaus,California,58621
248,6101,Sutter,California,9197
249,6103,Tehama,California,5305
250,6105,Trinity,California,375
251,6107,Tulare,California,57349
252,6109,Tuolumne,California,4011
253,90006,Unassigned,California,0
254,6111,Ventura,California,82319
255,6113,Yolo,California,13619
256,6115,Yuba,California,5802
257,8001,Adams,Colorado,51362
258,8003,Alamosa,Colorado,1347
259,8005,Arapahoe,Colorado,51970
260,8007,Archuleta,Colorado,748
261,8009,Baca,Colorado,278
262,8011,Bent,Colorado,1483
263,8013,Boulder,Colorado,20593
264,8014,Broomfield,Colorado,4187
265,8015,Chaffee,Colorado,1503
266,8017,Cheyenne,Colorado,125
267,8019,Clear Creek,Colorado,402
