FIPS,Key,STATE,Lat,Long,AREA_SQMI,Population,Total_cases,Total_deaths,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
1001,Alabama-Autauga,Alabama,32.53952745,-86.64408227,594.4434589,55869,9780,142,55200,23315,21115,8422,1065,29372,4204,8050,13369,10465,1586,13788,426,886,4279,299,1191,546,15.4,4.2,29372,11.3,14.6,24.2,19.3,7.5,25,0.8,3.8,18.4,1.4,5.6,1,0.5401,0.2745,0.286,0.4397,1.5403,0.3631,0.185,0.7529,0.7905,0.3792,2.1076,0.581,0.6336,0.5113,1.1449,0.5947,0.6017,0.7408,0.2964,0.4846,0.1525,2.276,0.3741,7.0688,0.4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875,508,7.1,0.9,37301
1003,Alabama-Baldwin,Alabama,30.72774991,-87.72207058,1589.793007,223234,36579,518,208107,111945,78622,21653,4343,31203,14310,40665,45677,28863,4508,35339,1068,20492,13075,991,2705,3014,10.6,4.4,31203,9.7,19.5,21.9,14,5.7,17,0.5,18.3,11.7,1.3,3.4,1.4,0.2239,0.3121,0.2057,0.3209,1.0626,0.2232,0.6428,0.4323,0.3524,0.1391,1.5666,0.199,0.5158,0.3582,0.874,0.4358,0.9713,0.5339,0.2604,0.1328,0.3018,2.2002,0.3359,5.7034,0.2162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,20864,1646,10.2,0.8,195677
1005,Alabama-Barbour,Alabama,31.868263,-85.3871286,885.0016356,24686,3519,71,25782,11937,9186,6597,918,18461,4901,4634,5436,5078,1174,13884,398,152,3484,313,849,2900,28.9,9.5,18461,27,18,21.1,22.2,12.8,53.9,1.6,1.3,29.2,3.4,9.2,11.2,0.9631,0.9217,0.9481,0.9701,3.803,0.978,0.4893,0.3327,0.9064,0.9468,2.6752,0.9153,0.8965,0.7052,1.6017,0.8558,0.2416,0.928,0.8198,0.8685,0.9449,3.8028,0.9889,11.8827,0.9959,1,1,1,1,4,0,0,1,1,2,0,0,0,0,1,0,0,1,2,8,2558,363,11.2,1.6,25052
1007,Alabama-Bibb,Alabama,32.99642064,-87.1251146,622.4610887,22394,4157,83,22527,9161,6840,2863,658,20199,2650,3661,4659,3412,407,5726,57,222,2615,52,410,2091,14,7.5,20199,16.8,16.3,20.7,16.7,6,25.4,0.3,2.4,28.5,0.8,6,9.3,0.443,0.7895,0.8987,0.7351,2.8663,0.7694,0.32,0.2846,0.6074,0.1706,1.3826,0.1203,0.639,0.227,0.866,0.4323,0.4317,0.9207,0.0981,0.5441,0.9214,2.916,0.7189,8.0309,0.6003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1619,396,7.9,1.9,17696
1009,Alabama-Blount,Alabama,33.98210918,-86.56790593,644.8304602,57826,9870,162,57645,24222,20600,8220,909,22656,7861,10233,13468,8114,1437,7413,934,211,6108,339,856,543,14.4,4.1,22656,19.8,17.8,23.4,14.2,7,12.9,1.7,0.9,25.2,1.6,4.2,0.9,0.4723,0.2611,0.7561,0.8405,2.33,0.6143,0.4715,0.6406,0.3763,0.2961,1.7845,0.3187,0.4206,0.717,1.1376,0.5915,0.1512,0.8816,0.3703,0.242,0.1165,1.7616,0.1741,7.0137,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6303,732,11,1.3,40036
1011,Alabama-Bullock,Alabama,32.10030533,-85.71265535,622.8053678,10101,1507,44,10352,4526,3609,3110,490,20346,1760,1616,2150,1441,705,8124,43,76,1511,0,423,430,31.4,11.1,20346,24.8,15.6,20.8,14.4,19.5,78.5,0.4,1.7,33.4,0,11.7,4.2,0.9777,0.9599,0.8924,0.9491,3.7791,0.9771,0.2572,0.2967,0.3983,0.9955,1.9477,0.4438,0.9809,0.297,1.2779,0.6749,0.32,0.9637,0,0.95,0.7689,3.0026,0.765,10.0073,0.8898,1,1,0,1,3,0,0,0,1,1,1,0,1,0,1,0,1,0,2,7,1076,335,10.8,3.4,8399
1013,Alabama-Butler,Alabama,31.75300095,-86.68057478,776.8382008,19448,3210,91,20025,10026,6708,4640,567,20430,2141,3806,4566,3492,704,9641,93,134,2625,119,520,322,23.5,6.7,20430,15.4,19,22.8,17.7,10.5,48.1,0.5,1.3,26.2,1.8,7.8,1.6,0.886,0.6968,0.8879,0.6753,3.146,0.8455,0.5928,0.5578,0.6845,0.8185,2.6536,0.9077,0.8711,0.3582,1.2293,0.6447,0.2416,0.894,0.4457,0.7685,0.3792,2.729,0.6259,9.7579,0.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,340,10.2,1.7,17280
1015,Alabama-Calhoun,Alabama,33.77483727,-85.82630386,605.8672514,113605,21719,433,115098,53682,45033,20819,4628,24706,12620,19386,25196,23598,4701,31675,1076,1990,7904,772,2599,3112,18.6,8.8,24706,15.9,16.8,21.9,20.8,10.4,27.5,1,3.7,14.7,1.7,5.8,2.7,0.7322,0.885,0.6076,0.6988,2.9236,0.7866,0.3664,0.4323,0.8564,0.8077,2.4628,0.8303,0.6616,0.5791,1.2407,0.6507,0.5931,0.6396,0.4056,0.5142,0.625,2.7775,0.6492,9.4046,0.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10686,796,9.4,0.7,117894
1017,Alabama-Chambers,Alabama,32.91360079,-85.39072749,596.560643,33254,5493,138,33826,16981,13516,5531,773,22827,4383,6409,7006,5570,1307,14954,36,679,2378,404,989,512,16.6,5,22827,18.6,18.9,20.7,16.7,9.7,44.2,0.1,4,14,3,7.3,1.5,0.6258,0.4166,0.7465,0.7966,2.5855,0.6901,0.5817,0.2846,0.6074,0.7316,2.2053,0.6609,0.8437,0.0707,0.9144,0.4597,0.624,0.6192,0.7622,0.7224,0.3457,3.0735,0.7943,8.7787,0.7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3613,476,10.8,1.4,27176
1019,Alabama-Cherokee,Alabama,34.17805983,-85.60638968,553.5248315,26196,2950,57,25853,16531,10606,3827,581,23356,3692,5621,5286,5110,494,2123,99,331,4825,155,435,274,15,5.6,23356,19.8,21.7,20.4,20,4.7,8.2,0.4,2,29.2,1.5,4.1,1.1,0.5127,0.5172,0.7096,0.8405,2.58,0.6879,0.8055,0.255,0.8249,0.0665,1.9519,0.4492,0.2843,0.297,0.5813,0.2751,0.3725,0.928,0.3359,0.2248,0.185,2.0462,0.2741,7.1594,0.4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2133,432,8.3,1.7,19502
