REGION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021
3,ALABAMA,Alabama,5024279,5024803,5039877,524,15074,13410,56320,16148,64868,-2738,-8548,-2,1244,3339,22136,3337,23380,11.19161265,12.89022602,-1.698613369,0.247201103,4.398748892,4.645949995
3,ALABAMA,Autauga County,58805,58877,59095,72,218,143,649,168,681,-25,-32,0,5,97,237,97,242,11.00261079,11.5451124,-0.542501611,0.084765877,4.017902553,4.10266843
3,ALABAMA,Baldwin County,231767,233140,239294,1373,6154,527,2260,661,2867,-134,-607,-1,63,1516,6780,1515,6843,9.567473975,12.13714508,-2.569671107,0.266703921,28.70242193,28.96912585
3,ALABAMA,Barbour County,25223,25180,24964,-43,-216,64,274,109,394,-45,-120,0,1,3,-98,3,-97,10.92852585,15.71474154,-4.786215699,0.039885131,-3.908742821,-3.86885769
3,ALABAMA,Bibb County,22293,22223,22477,-70,254,62,226,90,282,-28,-56,0,2,-42,309,-42,311,10.11185682,12.61744966,-2.505592841,0.089485459,13.82550336,13.91498881
3,ALABAMA,Blount County,59134,59081,59041,-53,-40,152,629,220,820,-68,-191,0,2,17,140,17,142,10.65000593,13.88395049,-3.233944566,0.033863294,2.370430572,2.404293866
3,ALABAMA,Bullock County,10357,10309,10320,-48,11,33,130,37,129,-4,1,0,1,-44,7,-44,8,12.60361627,12.50666537,0.096950894,0.096950894,0.678656261,0.775607155
3,ALABAMA,Butler County,19051,19045,18884,-6,-161,40,214,58,295,-18,-81,0,3,14,-83,14,-80,11.28424161,15.55537979,-4.271138179,0.158190303,-4.376598381,-4.218408078
3,ALABAMA,Calhoun County,116441,116266,115972,-175,-294,311,1320,409,1712,-98,-392,1,4,-74,70,-73,74,11.36764871,14.7434959,-3.375847191,0.03444742,0.602829856,0.637277276
3,ALABAMA,Chambers County,34772,34678,34541,-94,-137,85,356,121,512,-36,-156,0,21,-55,-8,-55,13,10.2861931,14.79362603,-4.50743293,0.606769818,-0.231150407,0.375619411
3,ALABAMA,Cherokee County,24971,24958,24996,-13,38,55,238,114,473,-59,-235,0,1,49,271,49,272,9.528766465,18.93742243,-9.408655963,0.040036834,10.84998198,10.89001882
3,ALABAMA,Chilton County,45014,45024,45274,10,250,125,557,138,590,-13,-33,1,1,24,275,25,276,12.33692884,13.06784203,-0.730913199,0.022148885,6.090943321,6.113092206
3,ALABAMA,Choctaw County,12665,12619,12533,-46,-86,36,144,53,218,-17,-74,0,-1,-27,-13,-27,-14,11.45038168,17.3346056,-5.884223919,-0.079516539,-1.033715013,-1.113231552
3,ALABAMA,Clarke County,23087,22995,22760,-92,-235,78,287,100,395,-22,-108,0,0,-68,-130,-68,-130,12.54507704,17.26587258,-4.720795541,0,-5.682439078,-5.682439078
3,ALABAMA,Clay County,14236,14193,14190,-43,-3,34,141,53,221,-19,-80,0,0,-24,75,-24,75,9.935524786,15.57270197,-5.637177184,0,5.28485361,5.28485361
3,ALABAMA,Cleburne County,15056,15035,15103,-21,68,31,152,65,252,-34,-100,0,1,14,168,14,169,10.08693344,16.72307386,-6.636140421,0.066361404,11.14871591,11.21507731
3,ALABAMA,Coffee County,53465,53565,54174,100,609,141,663,181,709,-40,-46,0,22,142,633,142,655,12.30752095,13.16143643,-0.853915481,0.40839436,11.75061955,12.15901391
3,ALABAMA,Colbert County,57227,57236,57474,9,238,167,578,213,877,-46,-299,0,17,59,516,59,533,10.07758696,15.29073315,-5.213146195,0.296399616,8.996600122,9.292999739
3,ALABAMA,Conecuh County,11597,11552,11328,-45,-224,35,137,48,230,-13,-93,0,0,-31,-129,-31,-129,11.97552448,20.10489511,-8.129370629,0,-11.27622378,-11.27622378
3,ALABAMA,Coosa County,10387,10383,10450,-4,67,23,71,32,154,-9,-83,0,0,6,151,6,151,6.816109058,14.78423655,-7.96812749,0,14.49623194,14.49623194
3,ALABAMA,Covington County,37570,37469,37524,-101,55,78,410,176,654,-98,-244,0,1,1,296,1,297,10.93435387,17.44162789,-6.507274012,0.026669156,7.894070113,7.920739269
3,ALABAMA,Crenshaw County,13194,13157,13083,-37,-74,25,157,45,218,-20,-61,0,0,-16,-15,-16,-15,11.96646342,16.61585366,-4.649390244,0,-1.143292683,-1.143292683
3,ALABAMA,Cullman County,87866,88044,89496,178,1452,245,907,333,1265,-88,-358,0,5,267,1822,267,1827,10.21741579,14.25030979,-4.032893996,0.056325335,20.52495212,20.58127746
3,ALABAMA,Dale County,49326,49214,49342,-112,128,157,637,170,652,-13,-15,-4,18,-94,115,-98,133,12.92666099,13.23105646,-0.304395471,0.365274565,2.333698608,2.698973173
3,ALABAMA,Dallas County,38462,38190,37619,-272,-571,112,426,144,567,-32,-141,0,4,-240,-432,-240,-428,11.23877112,14.95864607,-3.719874949,0.105528367,-11.39706367,-11.29153531
