STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
NEW MEXICO,NM,Rio Arriba,35039,"Rio Arriba County, New Mexico",5860.869195,39307,20044,12398,-999,-999,-999,3669,7083,9318,6280,1330,34397,755,67,7770,264,763,654,-999,-999,-999,13.8,18,23.7,16.1,10.7,87.5,2.1,0.3,38.8,2.1,6.2,1.7,-999,-999,-999,0.5922,-999,-999,0.4893,0.6826,0.561,0.8383,2.5712,0.8758,0.9917,0.774,1.7657,0.9268,0.0551,0.9869,0.5498,0.5788,0.4126,2.5832,0.5409,-999,-999,-999,-999,-999,0,-999,0,0,0,0,0,1,0,1,0,1,0,0,0,1,-999,4160,588,10.6,1.5,32290
ALABAMA,AL,Autauga,1001,"Autauga County, Alabama",594.4434589,55200,23315,21115,8422,1065,29372,4204,8050,13369,10465,1586,13788,426,886,4279,299,1191,546,15.4,4.2,29372,11.3,14.6,24.2,19.3,7.5,25,0.8,3.8,18.4,1.4,5.6,1,0.5401,0.2745,0.286,0.4397,1.5403,0.3631,0.185,0.7529,0.7905,0.3792,2.1076,0.581,0.6336,0.5113,1.1449,0.5947,0.6017,0.7408,0.2964,0.4846,0.1525,2.276,0.3741,7.0688,0.4354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3875,508,7.1,0.9,37301
ALABAMA,AL,Blount,1009,"Blount County, Alabama",644.8304602,57645,24222,20600,8220,909,22656,7861,10233,13468,8114,1437,7413,934,211,6108,339,856,543,14.4,4.1,22656,19.8,17.8,23.4,14.2,7,12.9,1.7,0.9,25.2,1.6,4.2,0.9,0.4723,0.2611,0.7561,0.8405,2.33,0.6143,0.4715,0.6406,0.3763,0.2961,1.7845,0.3187,0.4206,0.717,1.1376,0.5915,0.1512,0.8816,0.3703,0.242,0.1165,1.7616,0.1741,7.0137,0.4242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6303,732,11,1.3,40036
ALABAMA,AL,Butler,1013,"Butler County, Alabama",776.8382008,20025,10026,6708,4640,567,20430,2141,3806,4566,3492,704,9641,93,134,2625,119,520,322,23.5,6.7,20430,15.4,19,22.8,17.7,10.5,48.1,0.5,1.3,26.2,1.8,7.8,1.6,0.886,0.6968,0.8879,0.6753,3.146,0.8455,0.5928,0.5578,0.6845,0.8185,2.6536,0.9077,0.8711,0.3582,1.2293,0.6447,0.2416,0.894,0.4457,0.7685,0.3792,2.729,0.6259,9.7579,0.8653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,340,10.2,1.7,17280
ALABAMA,AL,Calhoun,1015,"Calhoun County, Alabama",605.8672514,115098,53682,45033,20819,4628,24706,12620,19386,25196,23598,4701,31675,1076,1990,7904,772,2599,3112,18.6,8.8,24706,15.9,16.8,21.9,20.8,10.4,27.5,1,3.7,14.7,1.7,5.8,2.7,0.7322,0.885,0.6076,0.6988,2.9236,0.7866,0.3664,0.4323,0.8564,0.8077,2.4628,0.8303,0.6616,0.5791,1.2407,0.6507,0.5931,0.6396,0.4056,0.5142,0.625,2.7775,0.6492,9.4046,0.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10686,796,9.4,0.7,117894
ALABAMA,AL,Chambers,1017,"Chambers County, Alabama",596.560643,33826,16981,13516,5531,773,22827,4383,6409,7006,5570,1307,14954,36,679,2378,404,989,512,16.6,5,22827,18.6,18.9,20.7,16.7,9.7,44.2,0.1,4,14,3,7.3,1.5,0.6258,0.4166,0.7465,0.7966,2.5855,0.6901,0.5817,0.2846,0.6074,0.7316,2.2053,0.6609,0.8437,0.0707,0.9144,0.4597,0.624,0.6192,0.7622,0.7224,0.3457,3.0735,0.7943,8.7787,0.7382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3613,476,10.8,1.4,27176
ALABAMA,AL,Coffee,1031,"Coffee County, Alabama",678.9858208,51288,23088,19789,7604,1371,27577,4833,8375,12161,8788,1928,15065,664,215,3140,272,1189,601,15.1,5.9,27577,13.8,16.3,23.7,17.7,9.7,29.4,1.4,0.9,13.6,1.4,6,1.2,0.5229,0.5669,0.4022,0.5922,2.0842,0.5373,0.32,0.6826,0.6845,0.7316,2.4187,0.8067,0.6883,0.6718,1.3601,0.7256,0.1512,0.6065,0.2964,0.5441,0.2184,1.8166,0.1923,7.6796,0.5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004,540,10.1,1.1,44908
ALABAMA,AL,Colbert,1033,"Colbert County, Alabama",592.7446865,54495,26466,21799,8785,1397,24918,6016,10502,11608,10086,1791,11630,175,587,2455,83,1322,436,16.3,5.9,24918,15.6,19.3,21.3,18.7,8.2,21.3,0.3,2.2,9.3,0.4,6.1,0.8,0.6032,0.5669,0.5927,0.6855,2.4483,0.6519,0.6234,0.3505,0.7574,0.5053,2.2366,0.6858,0.5817,0.227,0.8087,0.397,0.4037,0.4355,0.0322,0.5626,0.0936,1.5276,0.1025,7.0212,0.4274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4353,552,8.1,1,56580
ALABAMA,AL,Covington,1039,"Covington County, Alabama",1030.556053,37351,18907,15008,6702,1428,23071,4530,7650,8190,7703,1358,6205,129,249,4081,320,785,666,18.3,8.7,23071,17.1,20.5,21.9,20.9,9,16.6,0.4,1.3,21.6,2.1,5.2,1.8,0.7178,0.8803,0.7264,0.7459,3.0704,0.8232,0.7249,0.4323,0.859,0.6399,2.6561,0.908,0.5084,0.297,0.8054,0.3941,0.2416,0.8185,0.5498,0.4082,0.4448,2.4629,0.4702,8.9948,0.7723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4116,506,11.2,1.4,35253
ALABAMA,AL,Cullman,1043,"Cullman County, Alabama",734.7802988,82313,37652,30730,12831,1903,22980,10405,14803,18572,14310,2057,6487,447,959,8615,555,1279,1200,15.8,5.5,22980,18.2,18,22.6,17.6,6.7,7.9,0.6,2.5,22.9,1.8,4.2,1.5,0.5675,0.5006,0.7338,0.7829,2.5848,0.6895,0.4893,0.5304,0.6746,0.2537,1.948,0.4444,0.2716,0.4187,0.6903,0.3305,0.4448,0.8443,0.4457,0.242,0.3457,2.3225,0.3945,7.5456,0.5182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9631,933,11.8,1.1,76993
