FIPS,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Mobility,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic
1001,86.27965527,70.83333333,57.14285715,63.44432348,84.11381987,83.30872637,94.7,12.96829971,86.11252574,77.06349206,91.16314199,-0.209445917,26168,77.92547585,78.22235425,91.10671937,53.33333333,82.14285715,70,60.38095238
1003,85.6033366,63.26816089,67.94881498,63.75101656,83.10845854,78.18783539,94.6,13.74819103,87.03380626,69.01601067,82.48401667,-0.118444084,28069,77.23212033,80.08636823,71.77156643,67.27297997,75.58601785,66.98354927,70.9722462
1005,87.71160916,63.04693946,70.09975554,51.16570656,83.93389173,81.28918387,91.4,13.02681992,86.05621226,69.323158,61.92718094,-0.593941301,17249,80.37520554,78.78377827,73.65736761,76.06648128,78.75301903,65.17037727,68.70410547
1007,84.83026072,63.26202805,72.034797,61.79609491,82.0992095,81.21238829,93.4,6.984126984,85.52738806,68.84405859,85.25887061,-0.198811133,18988,80.81373639,77.83702672,69.97465163,75.1361539,76.92975354,69.85950326,67.93167744
1009,85.54809605,33.33333333,80,63.13650226,83.16597632,81.52184369,94.5,11.5727003,87.16475656,64.58511396,79.49270348,0.298375802,21033,78.76462019,78.19310515,92.04545455,57.60381485,79.30763224,64.95328771,76
1011,88.08772517,58.25588648,70.36002389,68.2247165,84.75488103,81.1329156,92.8,11.9047619,87.71173774,67.51194134,60.86944065,-0.576541801,17909,75.18434265,76.82269207,76.54395033,71.00955968,77.98663375,67.04066997,72.07041341
1013,88.37741841,62.49436916,66.85955289,60.78853212,83.27629142,81.8463715,92.9,10.42553191,88.73849064,64.76908919,83.52376528,-0.422989987,19011,78.56368024,76.10976132,76.62392367,69.05810392,79.95664803,67.920284,72.77395274
1015,85.03932433,63.19337253,66.76454576,47.56576253,82.33405695,82.31821473,93.3,9.818027931,87.39785984,69.01533224,83.36560784,-0.212033628,22231,79.43903249,79.95512057,77.91874056,54.06356759,76.74572381,67.45614974,68.29279443
1017,86.22466621,62.06773106,69.71606748,65.48542297,83.80712598,80.92258106,94.5,9.949409781,88.05228674,69.43330861,85.37151711,-0.456320047,21532,76.9953577,78.15677116,75.89110012,67.34377522,79.12855822,66.39778533,69.55444137
1019,85.37771542,63.91441214,68.12855674,59.87521422,83.38027686,78.77560226,94.8,8.630952381,86.87751343,69.53977937,82.95544705,-0.040916046,22544,78.90249834,78.27427378,74.91598108,72.36332717,78.30405658,68.0693282,65.10916925
1021,83.94733993,66.30501845,66.96000938,60.01488579,81.40044597,80.83184351,94.4,13.97694524,86.96234895,70.04784299,84.27422521,0.143391644,22045,79.38484358,78.43370346,72.97573413,66.71318397,75.38821407,66.63123385,68.4191435
1023,91.44761771,57.5,76.04910714,61.05442176,87.27867479,81.25,91.1,11.34751773,90.17770345,66.69186435,81.18382488,-0.170654561,20773,77.37529648,78.6606066,78.52959753,69.36419274,84.375,46.5625,77.40476191
1025,88.4378156,61.60697234,72.00530563,61.88779433,82.76543882,81.63645605,88.9,8.284023669,87.93803596,65.65570071,80.8651043,-0.110377706,20543,78.0920664,75.13170152,76.65745454,70.68258063,79.53038854,63.75474494,72.23303109
1027,85.03123495,65.70853012,66.15413329,65.09206539,82.9997965,80.47187018,93.8,9.090909091,87.00342776,68.07643746,83.22088806,0.065072685,21115,79.34816324,79.16917196,74.17954617,68.58683592,78.57949844,71.63639259,69.69719093
1029,84.56429162,65.06693853,66.23224273,46.78293083,81.71111661,80.08721455,93.9,12.20930233,86.40316976,66.68055658,80.47649111,0.553223643,19791,81.23304885,78.0383766,73.22687403,58.53405797,73.47772094,67.96738997,66.45609004
1031,88.03210438,62.56362344,67.23688072,64.55888597,83.95687692,80.65983661,93.9,11.30334487,87.26455511,69.22046269,82.87132476,0.074107401,25325,78.97745816,76.78782375,76.82882547,67.93936743,74.70825219,65.37210082,68.34077112
1033,86.01241625,67.49622382,68.5306821,46.68112013,83.15678737,79.55948573,93,8.723747981,86.78500318,69.23256324,84.40997754,-0.310768552,23318,81.12758543,78.55220013,69.64909085,74.83909591,76.35119886,70.14567423,66.40289087
