COUNTYFIPS,BEDS
01001,85
01003,332
01005,74
01007,35
01009,40
01011,61
01013,94
01015,552
01017,115
01019,60
01021,26
01023,25
01025,114
01027,45
01031,131
01033,363
01035,58
01039,210
01041,65
01043,145
01045,89
01047,175
01049,134
01051,138
01053,142
01055,627
01057,61
01059,125
01061,83
01063,20
01065,39
01069,655
01071,170
01073,5602
01077,263
01079,98
01081,314
01083,71
01087,143
01089,1088
01091,99
01093,120
01095,240
01097,1847
01099,94
01101,948
01103,402
01107,56
01109,97
01111,15
01113,70
01115,40
01117,252
01119,33
01121,285
01123,127
01125,787
01127,267
01129,25
01131,30
01133,59
02020,758
02050,37
02070,14
02090,240
02110,73
02122,204
02130,54
02150,25
02170,74
02180,36
02185,10
02188,17
02220,54
02261,44
02280,49
04001,45
04003,184
04005,308
04007,69
04009,49
04012,25
04013,8906
04015,522
04017,154
04019,2221
04021,249
04023,56
04025,340
04027,369
05001,74
05003,33
05005,268
05007,403
05009,174
05011,35
05015,47
05017,25
05019,25
05021,25
05023,25
05027,70
05029,35
05031,615
05033,103
05035,163
05037,25
05039,25
05041,50
05043,49
05045,257
05047,25
05049,25
05051,584
05055,129
05057,79
05059,100
05061,20
05063,199
05065,25
05067,133
05069,498
05071,80
05075,25
05081,25
05083,41
05085,4
05093,193
05103,100
05107,155
05109,32
05113,65
05115,170
05119,3301
05121,50
05123,118
05125,167
05127,24
05131,870
05133,35
05137,25
05139,166
05141,25
05143,774
05145,479
05149,76
06001,4284
06005,52
06007,536
06009,48
06011,48
06013,1731
06015,49
06017,224
06019,2089
06021,47
06023,283
06025,268
06027,62
06029,1743
06031,174
06033,62
06035,38
06037,26279
06039,462
06041,458
06043,34
06045,141
06047,230
06049,113
06051,17
06053,793
06055,362
06057,176
06059,8273
06061,732
06063,87
06065,3761
06067,3050
06069,181
06071,4703
06073,7768
06075,4708
06077,1229
06079,456
06081,2496
06083,966
06085,4506
06087,416
06089,732
06091,39
06093,61
06095,672
06097,1976
06099,1303
06101,60
06103,76
06105,51
06107,2086
06109,84
06111,1485
06113,156
06115,173
08001,1343
08003,44
08005,875
08007,11
08009,79
08013,846
08014,132
08015,25
08017,11
08021,17
08029,49
08031,1881
08035,666
08037,58
08041,1890
08043,25
08045,119
08049,44
08051,24
08055,20
08059,764
08061,42
08063,19
08065,25
08067,94
08069,573
08071,25
08073,50
08075,25
08077,460
08081,25
08083,25
08085,69
08087,69
08089,78
08095,40
08097,25
08099,25
08101,778
08103,35
08105,17
08107,98
08115,64
08117,34
08119,15
08123,350
08125,28
09001,2066
09003,2420
09005,272
09007,215
09009,3196
09011,465
09013,174
09015,234
10001,266
10003,1735
10005,604
11001,3684
12001,1833
12003,1163
12005,737
12007,25
12009,1768
12011,6543
12013,25
12015,823
12017,332
12019,416
12021,1051
12023,346
12027,49
12031,3859
12033,1818
12035,99
12037,25
12039,1253
12045,19
12049,25
12051,25
12053,620
12055,323
12057,5717
12059,20
12061,612
12063,87
12069,807
12071,2180
12073,1208
12075,40
12079,50
12081,806
12083,863
12085,478
12086,9776
12087,127
12089,54
12091,673
12093,100
12095,4894
12097,955
12099,4903
12101,1314
12103,4229
12105,1793
12107,99
12109,335
12111,1047
12113,385
12115,1618
12117,915
12119,339
12121,15
12123,96
12125,217
12127,1970
12131,108
12133,59
13001,49
13005,25
13009,140
13013,56
13015,119
13017,75
13019,63
13021,1196
13023,25
13027,25
13031,150
13033,40
13035,25
13037,25
13039,40
13043,25
13045,326
13047,179
13051,1126
13053,57
13057,158
13059,605
13063,416
13065,25
13067,1208
13069,88
13071,99
13075,120
13077,186
13081,73
13083,13
13087,80
13089,2292
13091,94
13095,939
13097,102
13099,25
13103,25
13105,52
13107,72
13109,49
13111,50
13113,282
13115,514
13117,304
13119,56
13121,4792
13123,50
13127,300
13129,69
13131,60
13133,49
13135,756
13137,53
13139,657
13143,25
13147,82
13151,215
13153,276
13155,34
13157,90
13159,17
13161,35
13163,37
13165,25
13173,25
13175,368
13179,64
13185,375
13187,52
13189,47
13193,49
13199,25
13201,25
13205,23
13207,25
13211,50
13213,42
13215,1230
13217,101
13223,83
13225,25
13227,52
13233,25
13235,49
13237,25
13241,50
13243,25
13245,2154
13247,138
13251,25
13253,65
13255,160
13257,96
13261,76
13267,25
13275,264
13277,241
13279,57
13281,25
13285,276
13291,45
13293,115
13297,165
13299,231
13303,116
13305,88
13309,25
13313,282
13317,25
13321,25
15001,504
15003,2506
15007,164
15009,234
16001,1338
16005,205
16007,21
16009,19
16011,153
16013,25
16017,25
16019,420
16021,20
16023,14
16027,343
16029,25
16031,25
16035,83
16039,25
16041,20
16045,16
16047,18
16049,41
16053,25
16055,396
16057,25
16059,18
16065,69
16067,25
16069,145
16071,11
16077,10
16079,25
16081,13
16083,224
16085,25
16087,25
17001,335
17005,150
17011,94
17019,503
17021,67
17025,18
17027,70
17029,118
17031,17552
17033,63
17037,191
17039,25
17043,1752
17045,25
17049,146
17051,110
17053,67
17055,25
17057,93
17061,286
17063,89
17065,25
17067,18
17069,25
17073,86
17075,84
17077,184
17081,175
17083,49
17085,25
17089,1101
17091,468
17095,209
17097,994
17099,269
17101,25
17103,80
17105,42
17107,25
17109,95
17111,343
17113,349
17115,432
17117,50
17119,968
17121,135
17125,20
17127,25
17131,22
17135,50
17137,108
17141,16
17143,1122
17145,42
17147,16
17149,21
17157,190
17159,90
17161,444
17163,702
17165,98
17167,1045
17169,46
17173,30
17177,100
17179,150
17181,47
17183,447
17185,25
17187,23
17189,50
17191,55
17195,135
17197,917
17199,431
17201,857
17203,18
18001,35
18003,1642
18005,198
18009,15
18011,52
18017,253
18019,342
18021,25
18023,25
18027,80
18029,88
18031,25
18033,56
18035,395
18037,123
18039,390
18041,99
18043,237
18049,25
18051,25
18053,322
18055,25
18057,621
18059,68
18061,25
18063,287
18065,90
18067,224
18069,36
18071,93
18073,46
18075,35
18077,72
18079,17
18081,177
18083,175
18085,72
18087,25
18089,2581
18091,500
18093,50
18095,379
18097,5028
18099,72
18103,25
18105,329
18107,103
18109,207
18113,31
18117,24
18123,25
18127,301
18131,25
18133,25
18135,25
18137,25
18139,25
18141,811
18143,25
18145,40
18149,53
18151,25
18153,25
18157,709
18159,25
18163,995
18165,25
18167,489
18169,18
18171,16
18173,133
18175,25
18177,221
18179,79
18181,25
18183,30
19001,25
19003,22
19005,25
19007,45
19009,25
19011,25
19013,459
19015,42
19017,50
19019,120
19021,35
19025,25
19027,116
19029,33
19033,586
19035,83
19037,18
19039,25
19041,99
19043,50
19045,265
19047,25
19049,120
19051,25
19053,25
19055,25
19057,213
19059,49
19061,470
19063,25
19065,50
19067,25
19069,25
19071,25
19073,25
19075,80
19077,25
19079,25
19081,25
19083,58
19085,25
19087,152
19089,19
19091,49
19093,25
19095,25
19097,25
19099,68
19101,25
19103,1476
19105,60
19107,25
19109,25
19111,121
19113,994
19117,25
19119,25
19121,25
19123,33
19125,50
19127,125
19129,851
19131,25
19133,25
19135,25
19137,25
19139,48
19141,50
19143,25
19145,85
19147,47
19149,25
19151,25
19153,1755
19155,514
19157,49
19159,32
19161,25
19163,1193
19165,25
19167,200
19169,279
19175,25
19177,25
19179,217
19183,25
19185,25
19187,200
19191,25
19193,830
20001,50
20003,41
20005,25
20007,93
20009,81
20011,61
20013,50
20015,126
20019,25
20021,18
20023,16
20025,99
20027,25
20029,25
20031,78
20033,12
20035,62
20037,146
20039,61
20041,137
20045,152
20047,22
20051,172
20053,25
20055,132
20057,99
20059,44
20061,139
20063,70
20065,25
20067,26
20071,50
20073,25
20075,69
20077,66
20079,141
20081,13
20083,38
20085,12
20087,74
20089,25
20091,1252
20093,25
20095,25
20097,15
20099,67
20101,17
20103,334
20105,14
20109,71
20111,59
20113,87
20115,52
20117,25
20119,20
20121,18
20123,75
20125,128
20127,25
