,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,UID,code3,first_year_cases,case_class_low,case_class_high
AREA_SQMI,1.0,0.027003649609303404,0.023832346097769335,0.021793869572116455,0.03352898422019957,0.03385737396768098,0.01141270828760761,0.03415259029822281,0.024135931407968773,0.0317231937707517,0.027649964192761882,0.026887519735374045,0.03491702554982911,0.031094718572620184,0.008888334504053467,0.06545515602009078,0.03955968431084922,-0.0014063911749982014,0.027589815529439607,0.023558791668521397,0.14366834841857498,0.01141270828760761,-0.015154452901123208,-0.07716038115174424,0.10375318097025024,-0.04565205126998009,0.09262914891400512,0.14746653757808906,0.04856702847814615,-0.00988207060959264,-0.018344764191137633,0.4021795751737634,0.3176523205717649,0.07147398112315953,0.01670534120289247,0.07411042383985919,-0.0034180241105995763,-0.01667706637104604,0.020709455816286346,0.01969382519849919,-0.06947078563673365,0.07699399204561574,-0.05175499922881201,0.04334812428583371,-0.0005374969723613388,0.0021636072772114475,0.11171133980028332,0.044716208046230006,0.0874184642941488,0.08662836593442567,0.005233199004668999,-0.020665105858330278,0.14114060473697349,0.027595029627868785,0.06300242571880375,0.0910720481470858,0.09229664448114219,0.06459811297721638,0.06320106931955238,0.05107531251672568,0.10032485277457039,0.0035488116592305836,-0.011880962995175326,0.047906235280526135,0.012575966043588621,0.14700241573486267,-0.014182379960010635,0.10182313084814816,0.11981941376635591,0.1399001595185456,0.03631677465116329,0.10585505989105991,-0.021476510951414642,-0.014409251297220134,0.198840321511348,0.07867141451754261,0.014545088417687523,0.10422853483546383,0.12358157865468736,0.03205886681613663,0.15546203829775648,0.042046471446002424,0.025895316180522186,-0.09196255139629073,,0.03571341720059176,-0.03392927870232607,0.01737456765546134
E_TOTPOP,0.027003649609303404,1.0,0.993731433953363,0.9960933302542523,0.9674063871752202,0.9835738653446198,0.2703059743594028,0.9493443465684512,0.9831548416894752,0.9944377791850552,0.9851701556965052,0.9796421290200249,0.9612547073859838,0.8909085179665869,0.8773711152840615,0.5790286713670048,0.8865363660285203,0.6596842474207903,0.8910568938012995,-0.0738943973730549,0.018636360565993704,0.2703059743594028,-0.0495084430453614,-0.21202493109581136,0.03633900335010072,-0.23387516182709295,0.07509481887106464,0.23975214097096184,0.3028646302833879,0.49590041930437323,-0.22881504452605053,0.13928817109165773,0.15756562068968727,-0.06897639914645108,-0.0657101750900576,0.05184307421332,-0.23532635713432817,-0.044142650908212046,-0.08570847735006051,-0.08487449533956087,-0.24116365331822354,0.0452340247614132,-0.24938632022490015,0.09506061416410447,-0.19366010104261577,-0.1901175867197083,0.22997120242614158,0.2745073251530415,0.28507340866368713,0.27767304037008794,0.3442401524601759,-0.27719032595230003,0.14596865736920803,0.10735813453706619,-0.028001449901685856,0.12360730956370962,0.1319059382267146,0.024721497550055517,0.02577841971921275,-0.056396261053876046,-0.04314188866724778,-0.07957443687052379,-0.05814021566612462,-0.07958451959748584,-0.07336126231052494,0.021121506670241454,-0.08555107453856592,-0.00024276499598514635,-0.0664470692031709,0.19023345039734166,0.28720446362031793,0.28760978271641835,0.4411280381541845,-0.08122893653980412,0.15084605186594224,0.08979959672674767,-0.07361763228963254,0.21730132527026927,0.09511315446713352,0.9272397356505108,-0.04430584022170932,-0.2827354536855859,0.9942633453530183,-0.05635393547091251,,0.9717165248238656,0.02784495628259998,-0.024293660443461994
E_HU,0.023832346097769335,0.993731433953363,1.0,0.9987845048789321,0.9615747325073478,0.9775815944112928,0.28840084042822073,0.9237719983320603,0.9876575836312723,0.9837599474967951,0.9887724688506071,0.9791140288333452,0.9375242429407654,0.8550373306120421,0.8859355493775514,0.5898162904656672,0.847514078781418,0.6868007559444347,0.8932056080671251,-0.07574511347297042,0.0209886184721144,0.28840084042822073,-0.06526100423215735,-0.20145273161368987,0.014897403766542647,-0.2336977616115478,0.07260763931374388,0.2350921567192351,0.29198211341710195,0.5258476754939094,-0.23893341273241386,0.12412628384383088,0.17848481258234317,-0.07335857049379146,-0.06526599606944733,0.057632540028163634,-0.2516539316518685,-0.058549431701661644,-0.09287212616003901,-0.09187302524243436,-0.23311626868247173,0.02424577103366476,-0.24907178963305135,0.09413115156799723,-0.20113924141987027,-0.1969096576954017,0.2315310623935419,0.2795079192136009,0.28881520412539163,0.28222798210496186,0.3637262002105021,-0.28835058699656274,0.1375519096611217,0.12252819140298545,-0.024934396593073522,0.13123468866186402,0.13962736490778685,0.02286103415586643,0.024010070622161688,-0.06249014260531714,-0.04647939576109868,-0.08742160737524483,-0.06900030913934782,-0.08902036737281777,-0.06730779366521983,0.004080171922445007,-0.0891941416363067,-0.005086081918627598,-0.07592875892461459,0.17840983293567989,0.27810274834933013,0.27501924031940156,0.4655041832105952,-0.08619550156154165,0.13393572257883213,0.10300349796736141,-0.08047942081361333,0.22105964122533403,0.08611944516822984,0.914513506899437,-0.053047008945648635,-0.3009683652596475,0.9921341733043643,-0.05597608534928638,,0.9552702097558722,0.0384346010135635,-0.0345438581064542
E_HH,0.021793869572116455,0.9960933302542523,0.9987845048789321,1.0,0.9609445805436982,0.9782620944683661,0.29075700523338693,0.9280392882768201,0.9854787000019949,0.9867998960072694,0.9870104769358676,0.9791787255479071,0.941541095494025,0.8615679783075507,0.8860632141602469,0.5743728654998493,0.8573264207508404,0.684349192721099,0.8951353422111188,-0.07920691772218695,0.01630801947660827,0.29075700523338693,-0.06494632950590584,-0.21047697914047422,0.02326565410398694,-0.23816454857616381,0.07286435300926547,0.233664220715992,0.29208766812155645,0.5218613204057123,-0.24062488456538614,0.12543277227786973,0.17531839810787692,-0.0727963566326227,-0.06991702335074083,0.051019715160979376,-0.25241006834582,-0.05915085276875633,-0.09656706491355702,-0.09569540283171055,-0.24129621797238976,0.03300490842813349,-0.254035530544524,0.0942535498538951,-0.20350213701437517,-0.1988699629773723,0.22990754663033044,0.2780844431523462,0.28709906158206067,0.2804596113683302,0.3611090148666947,-0.2910939034429832,0.13707888429563359,0.11910250228743864,-0.02540647070185884,0.1271668821576715,0.13545510263377247,0.01855881559003433,0.019525240431759634,-0.062352627322651316,-0.04769619071777441,-0.08674603427495856,-0.06728566228633381,-0.08858017317318219,-0.07405341598801474,0.0075697890473718395,-0.08925813326829857,-0.005671536816658948,-0.07778276375295648,0.1779415709391236,0.27850075288322446,0.2749788026422206,0.462587170208978,-0.0859508543206171,0.13551578242936493,0.10172006975187715,-0.07943854367919688,0.2204969918222782,0.08552478331201853,0.9130789486154899,-0.056502542753849985,-0.29741174389638714,0.9941256543586805,-0.05325019550755313,,0.9570479794877502,0.037067059792736695,-0.03318560579551918
E_POV,0.03352898422019957,0.9674063871752202,0.9615747325073478,0.9609445805436982,1.0,0.9808498331905625,0.1598809942379224,0.9689587552448874,0.9413464248517852,0.9669231760886771,0.9719782871740451,0.9830300562995006,0.9675898632460398,0.9109053858127353,0.879055251069394,0.577295698167209,0.9013784224361638,0.7024616645199511,0.8706938756256082,0.01336256452863983,0.061084447814439016,0.1598809942379224,0.012652935492284035,-0.19833796118597757,0.04239945080746474,-0.17550763558928126,0.12214115581655148,0.2596993483964379,0.3141742018235948,0.46428881749824863,-0.18304966550255544,0.1625879646497174,0.21129402251626325,-0.05487556314884269,0.030132686497184737,0.09947357333944172,-0.15004237830244543,0.0210820051077373,0.00030781409777844913,0.001681180182660078,-0.22370883924752316,0.0489109580254325,-0.18915945590164526,0.14074212881258583,-0.1234122297398603,-0.1195520889776789,0.23212333291132697,0.2509003422776579,0.2726612010587154,0.263927014564576,0.30117186705903753,-0.22271447251634405,0.16026558156200796,0.1460224763599393,-0.008318954683150248,0.15862064205817947,0.16951930557795863,0.09441809749439073,0.0975320751364078,-0.01168568477493463,-0.004714131250522534,-0.052629193874743886,-0.024887383113292565,-0.03154379499296168,-0.06780212481520184,0.028759907122367805,-0.0699389920565081,0.05049940667048381,-0.027992064013082518,0.2217009748248415,0.2835481788491996,0.3042760316955953,0.3989301514186015,-0.06323975414525342,0.1684372246847746,0.11438663801200344,-0.06144048001835452,0.22946543281528853,0.13736958945572497,0.9370454396310354,0.0008824014290479019,-0.24747585432185187,0.9539506210414881,-0.05713483093784827,,0.9609824928043743,0.019994441951766053,-0.016453516336633892
E_UNEMP,0.03385737396768098,0.9835738653446198,0.9775815944112928,0.9782620944683661,0.9808498331905625,1.0,0.21576150630525479,0.9603389009095059,0.9653654365332418,0.9765745030131063,0.9791113526919688,0.978961688708239,0.9684552668994001,0.8987065751860119,0.8768398314732104,0.553467370996768,0.8939410722459951,0.6902338230923222,0.888771153431593,-0.03379405505580569,0.05803586614588769,0.21576150630525479,-0.01800294391007532,-0.1950009754819349,0.03280001192443882,-0.19514504813496977,0.09646251665538383,0.24899135363094965,0.2979642478590591,0.46301430014564343,-0.2019846184906182,0.14672548568154933,0.1887923220554537,-0.06045265973161701,-0.021959131374202284,0.09527711401021252,-0.19044592992164544,-0.009343145325227875,-0.03688079753389774,-0.03582623842724238,-0.2218241329116905,0.04062628515875631,-0.20943027185114607,0.115402277589732,-0.15216856334579437,-0.14983466555500952,0.22871628979606765,0.2545415571744304,0.2728784495241687,0.2648830051044529,0.3079661742652906,-0.24640296484843185,0.1475862546632232,0.12781389037479585,-0.017987047393087575,0.1346120814624512,0.14401323881104452,0.06027856197114473,0.06262995602833384,-0.03556283451634748,-0.008014345809504433,-0.06638168477317034,-0.04284974918672718,-0.05128726562450703,-0.06736037610155148,0.017091704705910215,-0.07366490377608348,0.029182043171166887,-0.045555465945191234,0.21281256658501777,0.28347528726283566,0.2989004977314025,0.405315449200641,-0.06926211373620067,0.1521710305426398,0.10886443059478736,-0.06596082509586607,0.21888246800115901,0.11778486915312711,0.9125327335898064,-0.030135376405531083,-0.25324659992771603,0.9708320450144006,-0.06646590733160725,,0.964634282440721,0.029361215951186053,-0.025731805792174066
E_PCI,0.01141270828760761,0.2703059743594028,0.28840084042822073,0.29075700523338693,0.1598809942379224,0.21576150630525479,1.0,0.14233954940408378,0.2913936924373776,0.2521711309684797,0.24220179819989363,0.2206493618360024,0.1711639616571968,0.12796277366999284,0.25216679581889834,0.025885188117224615,0.13153796048423055,0.2008459247337032,0.25092263743853077,-0.7124457412651944,-0.4538331472864558,1.0,-0.6281449749544943,-0.024325336964320047,-0.12826214866922606,-0.5771066132957484,-0.3429077005660209,-0.1988437401136051,0.0016403139964271019,0.5021664330166286,-0.5574774605928715,-0.1682690188766554,-0.15582992610967325,-0.23132622762521365,-0.7249240866129657,-0.454432413632395,-0.9153601164948995,-0.6568912670255486,-0.8050349965957642,-0.8013014126536768,-0.0547223191357686,-0.09546951655717412,-0.5783633012706895,-0.32949326420275493,-0.5850122032866694,-0.5810740914518691,-0.11253011520158182,0.1435047488082312,0.02056419576331911,0.02205201507200293,0.4528130705803013,-0.5951980361918724,-0.21372447582566592,-0.32264552859428647,-0.15771161158706037,-0.34835315541982664,-0.33650072844968104,-0.6655940836305707,-0.661609479104018,-0.4003737534523969,-0.32113009483352517,-0.47032557587209284,-0.34606106361516503,-0.5157860754670702,0.07227650685393926,-0.09663953458840514,-0.2853144193991547,-0.2717901024429879,-0.2817066830241512,-0.18933384185668972,0.01878610428243129,-0.1022185315347495,0.3829803122918261,-0.30942133255132015,-0.10982678820682135,-0.15011207265570398,-0.23081014349527185,-0.17032009024844832,-0.4080926378017225,0.1542054490642927,-0.4078719935187065,-0.3228042015314201,0.2837480614031874,0.05873003412529026,,0.2053179878463178,0.11002455899897551,-0.10392592184929646
E_NOHSDP,0.03415259029822281,0.9493443465684512,0.9237719983320603,0.9280392882768201,0.9689587552448874,0.9603389009095059,0.14233954940408378,1.0,0.9164453137018493,0.9479569458378688,0.930481937088869,0.9411228259868458,0.9858759610896778,0.9711403663864078,0.865244139779303,0.5377071563191365,0.9670341365572832,0.6462409515372631,0.8291627780213406,-0.006793728225502991,0.045511967458046046,0.14233954940408378,0.04370333264716537,-0.16299598136745724,0.04539157362013131,-0.15423115612225505,0.09417641890435617,0.23537258572594214,0.3175676221869028,0.389713576627658,-0.146650990883019,0.17379943526144886,0.1668439961883082,-0.05069811141392775,0.005062952582303341,0.07719364545418347,-0.12706715322033893,0.05198982540974725,0.002210314400372142,0.0033852682710996244,-0.18443767114617685,0.05097041242387248,-0.16632886396975027,0.10925921142927889,-0.10535569523668639,-0.1048721474303839,0.20119870915672894,0.22472955441939033,0.24051577679710542,0.23074750096351865,0.23948452179331944,-0.18016716805065164,0.1579927560645001,0.10675004910083309,-0.024523927817150074,0.12622244392018314,0.13501910509466986,0.08040456997741824,0.08344924412842897,-0.018524792127720107,-0.010001635202399379,-0.04248311974148114,-0.00828023974922307,-0.026627422900615764,-0.05460649771437139,0.03899480550308638,-0.055389097456234056,0.03178437188664521,-0.018690004895389342,0.21552259788235512,0.2860779516470447,0.30209833817647,0.3182241899776912,-0.04876240275882149,0.1868619068019447,0.08111606203040678,-0.051793162616034304,0.1998052667160295,0.13109380501119033,0.9328546672988055,0.014139341330024986,-0.20025971261227324,0.9257063606087922,-0.056328626783393176,,0.9646825362471506,0.0079769483752709,-0.0044427591171204055
E_AGE65,0.024135931407968773,0.9831548416894752,0.9876575836312723,0.9854787000019949,0.9413464248517852,0.9653654365332418,0.2913936924373776,0.9164453137018493,1.0,0.9657973820243694,0.9821469827520583,0.9538604472957162,0.92379956362783,0.8537111469133587,0.8626421919016408,0.611803984550472,0.8495122394011566,0.6624248805469207,0.8849393100945876,-0.08643909933414184,0.020535016648198474,0.29139369243737767,-0.06809332502903141,-0.16210405374303394,-0.004144856322092694,-0.2232817676956049,0.0566711665942124,0.22128462456059847,0.2891786905183815,0.5016303105055114,-0.23263430130759494,0.12102849801795486,0.1629218068643905,-0.0760374159696412,-0.07743448309789369,0.058845459273889615,-0.254408317656256,-0.060874266183760045,-0.09756389370690309,-0.09668639912836523,-0.19875525114704162,0.003363661710506098,-0.23795786949123174,0.0762564089148807,-0.19741503540304042,-0.1951825685725259,0.22184930087010094,0.27768149761627764,0.2824192997212259,0.2761939560922439,0.35838304110444213,-0.2795938378815032,0.12943438040696453,0.11877511123695832,-0.027467753539539858,0.1265850754602522,0.13399857307833385,0.01822895805644484,0.01885711473571265,-0.06836919012011464,-0.05163487854019861,-0.08923868855589467,-0.07167350419043665,-0.09422157075690697,-0.05362846927745804,-0.014327749668140063,-0.08884440925387124,-0.015944481372949355,-0.08339069510629928,0.16480892877055978,0.27389593887897384,0.2643196913517749,0.44401047998048276,-0.0860828017637248,0.13224346292430403,0.09391329310333496,-0.08321042342811953,0.20664609116476845,0.07349632099734388,0.884849426645781,-0.0630811458659156,-0.30435451425314713,0.9782617720193291,-0.0681384319941556,,0.9519411601659686,0.03928331127339949,-0.035155325025174995
E_AGE17,0.0317231937707517,0.9944377791850552,0.9837599474967951,0.9867998960072694,0.9669231760886771,0.9765745030131063,0.2521711309684797,0.9479569458378688,0.9657973820243694,1.0,0.9782495270926154,0.9829530740559128,0.9597196135024523,0.8846738790171138,0.8504980049862866,0.5882033505225341,0.8781857090067429,0.6270971905771714,0.8675476087277798,-0.07033072315464133,0.020008574639975848,0.2521711309684797,-0.0374456185302357,-0.2292941353087845,0.06981415658137385,-0.23745990916922072,0.08998983693963472,0.2488973872834221,0.31199228453341815,0.47400301285627133,-0.22610915043201144,0.14945766399723528,0.13690818877646507,-0.07461654279442491,-0.0628413023623982,0.051579761811414535,-0.22368401203834876,-0.03358950225320713,-0.07845406581373801,-0.0776597353459441,-0.25616024201850934,0.07954712548908231,-0.25299077090161654,0.11008667999990936,-0.1766883906386551,-0.17669010620980108,0.2353974997479415,0.2779570379692191,0.29005575771063197,0.28220960147562557,0.3389739114858626,-0.27375865039860725,0.1559410948376858,0.09520033714522366,-0.03951221420755685,0.11707972008511446,0.12534046794634174,0.03177428457884393,0.03286997362539447,-0.05210707050381621,-0.038432372143306956,-0.07564563121398997,-0.04878240017505987,-0.07211585139134893,-0.07888284562097954,0.048986398251432105,-0.08579570634852905,0.012205336680967547,-0.04965631359081689,0.20015028187548162,0.29391438909955814,0.29761168342514877,0.42807385476389936,-0.08052929971044862,0.1624533267119577,0.07709960456992633,-0.07639205286871169,0.21055015876409267,0.10375184638375651,0.9423388780596965,-0.03026085814752639,-0.27841680191981294,0.9898467185393689,-0.05180628545595064,,0.9698444204684067,0.019015028476790565,-0.015990504588732524
