,SUMLEV,REGION,DIVISION,STATE,COUNTY,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,NPOPCHG2020,NPOPCHG2021,BIRTHS2020,BIRTHS2021,DEATHS2020,DEATHS2021,NATURALCHG2020,NATURALCHG2021,INTERNATIONALMIG2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,RESIDUAL2020,RESIDUAL2021,GQESTIMATESBASE2020,GQESTIMATES2020,GQESTIMATES2021,RBIRTH2021,RDEATH2021,RNATURALCHG2021,RINTERNATIONALMIG2021,RDOMESTICMIG2021,RNETMIG2021,UID,code3,first_year_cases
SUMLEV,1.0,-0.015008211130454016,-0.010859743321532757,0.005936444627172549,0.12224199682993804,-0.6065629527797011,-0.6066614756611433,-0.6078359303889285,-0.056083325213805796,-0.07671586175594974,-0.6045249118495147,-0.5999790640898203,-0.6508803434172451,-0.6472520156656291,-0.11687616724930926,-0.11094001154019278,-0.4049932337691021,-0.4882425385238765,-0.0013795668756981395,-0.0010049997439074395,-0.013766438736614645,-0.046047951999005445,0.0022604610694105494,0.000587884671360759,-0.6373811529306471,-0.6373811529306471,-0.6373811529306471,-0.01869232939483646,0.07502216712690248,-0.06723192986469627,-0.05466453944087903,0.031033046229824068,0.02859611290480104,0.005060625383451898,,-0.0106149037567215
REGION,-0.015008211130454016,1.0,0.9422396136394781,-0.03585401749100688,0.0032611565366560485,-0.0013898118940094404,-0.00122940762485294,-0.0006662599201483811,0.09192860811409215,0.059582767983778546,0.0020537732191840434,0.004052855912885902,-0.012046138825631734,-0.011515367690216504,0.055010641945370906,0.06394356360100609,-0.03936604525011581,-0.022434134518512373,0.07075839345257225,0.043482293492386095,0.06883678946599923,0.04147246331400449,0.06934917312433181,-0.022350244286971507,-0.02599118923256761,-0.02599118923256761,-0.02599118923256761,0.05092039718382077,-0.10052278068411759,0.10431441415652727,-0.009980240399308619,0.15238298980508316,0.15300189303162912,-0.013248287610737151,,0.06374545491731821
DIVISION,-0.010859743321532757,0.9422396136394781,1.0,-0.042193107507450096,0.021587325496556144,0.0034930766425586785,0.0036351668233462267,0.004059704510024621,0.08142973792071839,0.04456137463818421,0.008420343689709866,0.010264034990325532,-0.010507373663923198,-0.009646090541522306,0.07660468934429203,0.08430892814350226,-0.04850660213601314,-0.023450273732463535,0.052774435564366826,0.02424192330517487,0.05075498383945325,0.022111902676023473,0.08774703875436464,-0.027698560738867624,-0.02019123544019238,-0.02019123544019238,-0.02019123544019238,0.10888452933498446,-0.1086578382948658,0.14236785464227264,0.0010131253632243522,0.10443725294724203,0.10524384397122803,-0.03486845293914765,,0.058349379447843276
STATE,0.005936444627172549,-0.03585401749100688,-0.042193107507450096,1.0,0.11627101347730996,-0.03811848521288014,-0.03807817278376862,-0.03792820433347095,0.023126956908005845,0.01881326605388969,-0.03410691889823818,-0.03539986317435533,-0.03845749122970461,-0.03889248913239105,5.278432017944442e-05,-0.0037476868722103617,-0.013662391107734633,-0.027092281663092212,0.023057367534816093,0.021243202467239895,0.022405638815497956,0.018773075435940898,0.002644742285134031,0.0165968249943348,-0.037110454671643,-0.037110454671643,-0.037110454671643,-0.03998714289458099,-0.022529817402780043,-0.004888079819953376,0.0007696531658767602,0.059001181459639326,0.059466467540941564,0.9816237804418781,,-0.022621730658808795
COUNTY,0.12224199682993804,0.0032611565366560485,0.021587325496556144,0.11627101347730996,1.0,-0.0852145504269824,-0.08520611424214299,-0.08524854163158091,0.004888189209388358,0.00216792225397841,-0.08258569462027043,-0.0816527007564619,-0.09141422427597241,-0.09103830970896822,-0.006406499504076163,-0.003355826966825166,-0.05848629778127656,-0.06884374123275323,0.008520578410311582,0.009232089903119984,0.006643490320779522,0.002893777116158597,0.01818039625639761,0.0011049298479880434,-0.08609552965146439,-0.08609552965146439,-0.08609552965146439,0.15007686286190244,0.01792283873826189,0.06893011458693712,0.07544596996562197,-0.04131882108713973,-0.03794449402796553,0.09609513850089996,,-0.05220911899521955
ESTIMATESBASE2020,-0.6065629527797011,-0.0013898118940094404,0.0034930766425586785,-0.03811848521288014,-0.0852145504269824,1.0,0.9999984776725921,0.9999384365025829,-0.0014992058047870501,-0.08438404242190942,0.996912130991842,0.9965728726354959,0.9858528750290467,0.9878052183271626,0.5279235077466912,0.5314711286407514,0.5476740170284814,0.8313222250979255,-0.2106085275781206,-0.28547075351222695,-0.19170703244662896,-0.2091716683891981,0.3229419112999541,-0.2936985696054583,0.97944630038332,0.97944630038332,0.97944630038332,0.02392660201479013,-0.11035343809945565,0.09693175553377255,0.09243781061016296,-0.058005500425360464,-0.053924729579568835,-0.04206037979859438,,0.019739941945262126
POPESTIMATE2020,-0.6066614756611433,-0.00122940762485294,0.0036351668233462267,-0.03807817278376862,-0.08520611424214299,0.9999984776725921,1.0,0.9999554959860705,0.0002456877779927361,-0.08274292919878792,0.9969620192837648,0.996644313344175,0.9858618420457144,0.9878191171177012,0.5281045572763339,0.531735606027657,0.5482926424946821,0.8316248247385694,-0.2089861238422055,-0.2839961410180194,-0.19008210856541183,-0.20766711323419515,0.3233421778401727,-0.2935591409808147,0.9793085635906541,0.9793085635906541,0.9793085635906541,0.0239447472315871,-0.11041123010953466,0.09698560656361288,0.09242548608117156,-0.05777504957882787,-0.05369320793143221,-0.04202657864258872,,0.01974475047184099
POPESTIMATE2021,-0.6078359303889285,-0.0006662599201483811,0.004059704510024621,-0.03792820433347095,-0.08524854163158091,0.9999384365025829,0.9999554959860705,1.0,0.009150074439568926,-0.07333729610828546,0.997099815831193,0.9968921590670771,0.986192120093741,0.988139111937969,0.5274343643903783,0.5315721292204458,0.5521956320597783,0.8333090392616813,-0.20013938192241554,-0.27513897522598685,-0.18120540496924314,-0.19864239886397828,0.32387443334278354,-0.29144155478157835,0.9786378382100426,0.9786378382100426,0.9786378382100426,0.023938224839880232,-0.1105308516758729,0.097072828411226,0.09226326539164025,-0.05621935854927347,-0.05213413637567053,-0.04190482318234497,,0.019717749682290644
NPOPCHG2020,-0.056083325213805796,0.09192860811409215,0.08142973792071839,0.023126956908005845,0.004888189209388358,-0.0014992058047870501,0.0002456877779927361,0.009150074439568926,1.0,0.9405753921400997,0.027966171630797367,0.0403180810779748,0.004521107421268735,0.007346284928248683,0.10342866123701906,0.1512389689349214,0.35419118910056135,0.17289891000545787,0.9299320915395582,0.8452798051071279,0.9313645409123154,0.8623921322380315,0.22919047301513068,0.08009066694295283,-0.07955087640263225,-0.07955087640263225,-0.07955087640263225,0.010384033220780972,-0.033051454064117386,0.030801289218332934,-0.007121127710966851,0.1321078080298637,0.13271892710350033,0.01939828276697479,,0.0027433595225841473
NPOPCHG2021,-0.07671586175594974,0.059582767983778546,0.04456137463818421,0.01881326605388969,0.00216792225397841,-0.08438404242190942,-0.08274292919878792,-0.07333729610828546,0.9405753921400997,1.0,-0.06324893575875119,-0.05159934787031669,-0.04205031330795545,-0.043289307973100245,-0.11200855243690407,-0.0587661294939988,0.36949362472820724,0.11300661874081967,0.9508150588802265,0.9577700812900776,0.9525046878844717,0.9695118345382671,0.030989373967561604,0.24659628425858357,-0.14727759633286477,-0.14727759633286477,-0.14727759633286477,-0.0025576703180722705,-0.004019254620798461,0.0016445447549951787,-0.024348868217953495,0.16884074368351765,0.16887928338492791,0.016141267011270242,,-0.004393106939296592
