,FIPS,first_year_cases,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,EP_UNEMP,EP_PCI,EP_NOHSDP,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,EP_UNINSUR,E_DAYPOP,Agreeableness,Belief In Science,Collectivism,Conflict Awareness,Conscientiousness,Empathy,Employment Rate,Entrepreneurship,Extraversion,Gender Equality,Hopefulness,Income Per Capita,Neuroticism,Openness,Religiosity,Risk Taking,Selflessness,Tolerance,Work Ethic
FIPS,1.0,-0.05368829594870938,-0.0839643282138051,-0.05266455590906568,-0.05166409214664461,-0.04926777052620983,-0.052011749927893064,-0.06246501037529516,0.054807567549320896,-0.052607835742702086,-0.06419682470643838,-0.04837988085878849,-0.05439942422974281,-0.04542950759668681,-0.056123195233932166,-0.04794347370333926,-0.03335623200679136,-0.07789917581443692,-0.05468563413170502,-0.012251229081652442,-0.054466742839738395,-0.10320778770857784,-0.1197215157040468,0.054807567549320896,-0.007764413736532592,0.05435769023920987,0.0043816643857205,-0.01837980579245331,-0.09074227194829787,-0.04884357843831716,0.02949184384777891,-0.022127996379338887,-0.030043401511442858,-0.0375299845921468,-0.09328329134326029,-0.031401663350484214,-0.10236583553232188,-0.11607281113752921,-0.08525245279623687,-0.025203109546031516,-0.09610567215543218,-0.0944081352329125,0.0681673117316441,-0.037132354178851246,-0.02563286167598759,-0.09439727641504142,-0.0496192492640272,-0.06295714920143129,-0.06362111197008413,0.014089604259825469,-0.026987457219979735,-0.02871261585708778,-0.012825459244248624,0.016451296433583524,-0.031058579668896868,-0.07574737039421582,-0.022757757874502925,-0.05257775070555,-0.05321239882038759,-0.0854345344711227,-0.0880762037821363,-0.09165021878586767,-0.09011043722240901,-0.06675558209443816,-0.01912105895736064,-0.08948493965459096,0.014435446944994275,0.03766820750932845,-0.02164469525169454,-0.07749037955505968,-0.022272604683070612,-0.004750102586169357,0.02344368909904766,0.011347816482499074,-0.030540370313455342,-0.08899057735359905,0.013912336061760231,-0.04993821860459299,-0.03349414221799508,-0.07797791457188903,-0.07283692867723221,-0.029600606920220623,0.08365333194427213,-0.05165197239965271,-0.06618999538097106,0.0802711822429902,0.006091608326470727,-0.0006148059574069413,-0.07289649955458595,0.002729603416729715,0.06525663157104944,-0.08517944401285175,-0.023569997583657524,-0.014609358421964463,0.03298641223601874,0.06541635350376614,0.07434690724225988,0.017307293451355843,-0.043036884919084556,0.00871922906784126,-0.0012390858160631942,-0.011112792101124673,0.04306448189152178
first_year_cases,-0.05368829594870938,1.0,0.03609285250416487,0.9745286032565484,0.957869372269351,0.9606144552098046,0.9611216898841718,0.9676479981121022,0.2113929527669387,0.9649417613717315,0.9521422778749086,0.9742327234598683,0.9584881295389562,0.9591022303842482,0.9604093490322476,0.9202535476626974,0.8437747026079171,0.5731519433716581,0.9108354773447838,0.6205748386673597,0.8613760827640752,-0.0523293517987658,0.02442469396627019,0.2113929527669387,-0.019242722954698067,-0.20307961285291348,0.05696658280905197,-0.20905423132054504,0.08902418044417498,0.22661357689446018,0.28470113684591075,0.44470599002336486,-0.2012121326588192,0.15099464146540575,0.14989857126685904,-0.05954097922835679,-0.043018858688955074,0.05290392573393455,-0.19285062607202624,-0.012297386206998252,-0.05681357931186607,-0.05585961064203646,-0.2285752303223282,0.06730922708669128,-0.22396238605557084,0.1079134247998262,-0.1546219361777375,-0.15491617886077796,0.21440613440093306,0.2500323096053816,0.2621832964393799,0.2549581272616224,0.3074989886852254,-0.2449338583776664,0.14047942140004688,0.09632013327148219,-0.024109674170554183,0.11588443789230703,0.12411243454304684,0.040922746968396304,0.0427087404912714,-0.04403208254507931,-0.03296816426111335,-0.06590750477351844,-0.04026069758041325,-0.06138394933332667,-0.07026418854117139,0.035184471965242825,-0.07589409357608026,0.014241693460951377,-0.046703224981953666,0.1820441520552402,0.2721933691694892,0.2733630573054381,0.3951861832762244,-0.07083703215800669,0.14733751985615717,0.07150881955337655,-0.06318986879274728,0.19432076782319643,0.0967461462713626,0.925445619860408,-0.022880301790424135,0.9617753011345425,0.029617817916866684,0.09935865983802605,0.045591351706263245,0.0809524827931453,0.01365617772808078,0.027155584408213074,0.03662556430671383,0.1128588223643213,0.03758429158678994,0.04500321447103644,0.08968835444546377,0.1977745705255203,-0.10444740443952998,0.17842472746427626,-0.14498795663746403,-0.018626378957256457,0.028921623149616143,0.10246894368029537,-0.019118420637571753
AREA_SQMI,-0.0839643282138051,0.03609285250416487,1.0,0.027260520542579825,0.024023372264587024,0.0220073649860704,0.03366616836118462,0.034070062064269734,0.015823707826043993,0.034299076846409246,0.02428591835669579,0.03197149726118018,0.027797150150136004,0.026997479421243083,0.03533611411434353,0.031688350804510275,0.008890808091953653,0.06545832200788552,0.03951515801066168,-0.001406927568602651,0.028651217466278033,0.01976057301687623,0.13638754372020617,0.015823707826043993,-0.01658706918659494,-0.07580228067777141,0.09647060402636155,-0.046604101274652164,0.08723016265821419,0.14601470203745076,0.04998685790352913,-0.0034849368235845136,-0.019969033569953495,0.40124512988478356,0.3164144899534972,0.07708421270873082,0.015795492365643895,0.07244245369526252,-0.005621351924767673,-0.017843371054170283,0.018979312444133315,0.01827806665701184,-0.06919514478551,0.07421219434355969,-0.05262842273290211,0.0420924109298017,-0.0031178288312421584,7.667815826258201e-06,0.11201449477920708,0.04532504002007813,0.08787977389342023,0.08701967148541782,0.0116360881853442,-0.022827714975691096,0.1384939891249747,0.025764400368310715,0.06399791209286569,0.09113505885752063,0.09218341211553276,0.06315182397401715,0.06158023047521537,0.049651002203947095,0.09780642967158602,-0.00044885361375479095,-0.016206992978725698,0.04355227398299178,0.012280304454825256,0.14367905040734436,-0.013665727581543979,0.10183465007081592,0.11808605761894922,0.14088182455947068,0.03865618542082012,0.10749591896930022,-0.017484469860610433,-0.014835966466035484,0.19371065603754015,0.07580805699669636,0.017923538231539905,0.10438851700280181,0.12135061290834245,0.032337130989045,0.1525633913382099,0.02620824157506852,-0.10909249036656136,0.030712846102097617,0.01091876825736322,0.011391162922022094,-0.05678928681701362,-0.010785160490241412,-0.18146077400799548,0.05905940434734031,-0.08278592144132613,0.008609931042805627,0.02641508185163472,0.025639495863068927,-0.0561791856384884,0.07787633829755919,-0.0220453001571183,0.005318183732327584,0.01447335504218673,0.005033739023997681,0.013134031357102513
E_TOTPOP,-0.05266455590906568,0.9745286032565484,0.027260520542579825,1.0,0.9936291352176436,0.9961149799188193,0.9676732583563136,0.9834587578847935,0.27205216947717675,0.9489264767400617,0.9829857883833207,0.994509203834091,0.9851441771524366,0.97939158766042,0.961797453065869,0.8994493648530262,0.8759835437925847,0.5816226771865013,0.8855383938122308,0.6576618710678639,0.8926091612202207,-0.07394762690177975,0.021504652134452084,0.27205216947717675,-0.05043298071783029,-0.2135820554660321,0.037382871374319414,-0.23304512859106938,0.07827547768409622,0.23700906814295178,0.2897695704240049,0.5052037044091002,-0.2304631107705894,0.14676559614196982,0.17004837759890787,-0.06822385310326745,-0.06647754171169198,0.053201181656434844,-0.23713910019726347,-0.04504995277349904,-0.08607005778612221,-0.0853536139338772,-0.24245877017885523,0.04687767318524477,-0.24869871742635938,0.09638196872990874,-0.1939636624992205,-0.1889916132243908,0.22985936717128877,0.27303087899365586,0.2839448958988347,0.27704261213808823,0.3488892502446416,-0.28024855178510766,0.1423453886696578,0.10926418029610085,-0.0259164714215347,0.12396395083533217,0.13263396256762122,0.02485944396482029,0.025652128600782576,-0.055176841646187635,-0.041411460728010274,-0.0793235040194248,-0.05754000956663276,-0.07822948100201498,-0.07385498584176264,0.021236137326278604,-0.08573457165887981,0.003278807219411272,-0.06525059547257182,0.18740112600509432,0.2836189778569722,0.2834738706011835,0.4528700076959753,-0.08189471621397086,0.1453646744448748,0.08707172902197494,-0.07280720489712228,0.2146448892086558,0.0932761347823127,0.9284851615214929,-0.04735986513954399,0.9942399815070407,0.027047181039776377,0.12273328456404788,0.05470209394444884,0.09359562194516627,0.012380789818543039,0.032714793903376775,0.04958344567446068,0.12565984845849426,0.034523549200637896,0.05359118815362423,0.10451785189447617,0.25532810494126534,-0.11518325239313348,0.21225202449936054,-0.18065107012338613,-0.007130960427849023,0.03451921549588958,0.11786208255984013,-0.018003921908394994
E_HU,-0.05166409214664461,0.957869372269351,0.024023372264587024,0.9936291352176436,1.0,0.9988000109989135,0.9616469808515984,0.9771965784443846,0.29080877453149584,0.9227935652433834,0.9877341595059597,0.9836506639514839,0.9886875189260202,0.978823105573821,0.9375485693104243,0.8623106751328736,0.8849965637111499,0.5922157766636111,0.845672486842068,0.6846945637656274,0.8941944250125401,-0.07600803819990973,0.023969304633593053,0.29080877453149584,-0.06647622131579325,-0.20306783643285464,0.015434481551146894,-0.2332717676195972,0.07587781223092836,0.23251797012896577,0.279293074678887,0.5370356450744493,-0.2411439761561191,0.13052212664862475,0.19225633241884735,-0.07262987235805901,-0.06628929225153728,0.058937326188967784,-0.2539066333684119,-0.05971019540346872,-0.09351596095263098,-0.0926314131207287,-0.23447544035776205,0.02557639332194681,-0.24872789650675384,0.095510291017756,-0.20187406233594107,-0.19617841782173526,0.23170914159142528,0.27825795648803736,0.28797376452552376,0.2818808410672393,0.3691433452719344,-0.29214363555166234,0.13376338066779672,0.124619621218114,-0.02302724174564022,0.13149105428196367,0.1402742605375814,0.022816671573708393,0.023694702577200515,-0.06130374562959723,-0.044801623565558564,-0.0872644449246927,-0.06860110951148515,-0.08778758397644737,-0.06780913668600304,0.004090982506761836,-0.08947056196134529,-0.0016357478595979713,-0.07485300675927986,0.17527168057220147,0.2749903626877223,0.27101200635974404,0.47895377496808145,-0.08703031457132546,0.12817718907411932,0.10077028277968021,-0.07958913207358849,0.21877457288281077,0.08435279743833492,0.9158580883489669,-0.05592413177071707,0.9919771873078695,0.028079162244011104,0.12446430578225143,0.057208628656299464,0.10601946604432765,0.017275823177760156,0.038902025774004007,0.05071595455017831,0.12647952593630865,0.03803164727851565,0.060085704744431465,0.11345142722293344,0.2731051246797502,-0.11828774712749338,0.2255915346816548,-0.19033286456446077,-0.009443879610369708,0.0328486356419766,0.12133811937609605,-0.01851078123579523
E_HH,-0.04926777052620983,0.9606144552098046,0.0220073649860704,0.9961149799188193,0.9988000109989135,1.0,0.9614714868267625,0.9779837321086086,0.2924698097607534,0.9276252997030139,0.9857879822583314,0.9866723293412708,0.9869806946570828,0.9790976508967301,0.942375107223633,0.8710082674675172,0.8859373695989798,0.5763819572031489,0.8557149312294653,0.6821829771500176,0.8963186638909535,-0.07926243101284117,0.0191507939191435,0.2924698097607534,-0.06584135279827658,-0.21197511084458923,0.023950731483633438,-0.2375210889178146,0.07619312369389492,0.23121772917769776,0.2801085886234381,0.5329233198480643,-0.24254842965339435,0.1321387632161049,0.18874601457369206,-0.07207726121755341,-0.07067398614931512,0.05231030851192531,-0.2542081146254074,-0.05997587052361087,-0.0969033117229107,-0.0961412890631263,-0.2425411166596382,0.03436566377075417,-0.25351770509462324,0.09576307071034104,-0.2040074943059742,-0.19796019249480984,0.22993897098987823,0.27666828527711645,0.28608231350440005,0.27991254412575395,0.3661615942684736,-0.29457630286602615,0.13343890645405102,0.12126792277113638,-0.023456504820518424,0.12753454101494005,0.13621682180734512,0.01873050872052933,0.019437249639351784,-0.061164411498603674,-0.04604244761261139,-0.08651710147578502,-0.06680121799003542,-0.08729919000838395,-0.07454848191961896,0.007566842485237959,-0.0894482985181468,-0.0023063806568714997,-0.07672057869026716,0.17511621962689103,0.27531903002831337,0.27111804137421336,0.47554837949547546,-0.08666494860493211,0.13029624855437077,0.09978938523551342,-0.07854270302560201,0.21844947481708835,0.0838983232408468,0.9153032175741675,-0.059121007768414155,0.9940179511281332,0.0272200541106476,0.12767207551491244,0.056468611702409466,0.10266074307075765,0.015165554520335129,0.03686653771204318,0.055893135075190344,0.12351112465566676,0.03767751031470583,0.06009265686175815,0.11167499966415738,0.27495078810691453,-0.11713575074676325,0.22119724447693734,-0.19097082160826814,-0.00680180870838897,0.033818839881647786,0.12114783882869172,-0.017745934642624514
E_POV,-0.052011749927893064,0.9611216898841718,0.03366616836118462,0.9676732583563136,0.9616469808515984,0.9614714868267625,1.0,0.9811725027358085,0.16223099778319466,0.9682210238216374,0.9401345569674898,0.9681047219268187,0.9720501196657815,0.9829679002121661,0.9672962072617699,0.9159668839197133,0.8759642135538925,0.580397218119178,0.9011433016671764,0.7013049091472802,0.8710643503676742,0.013168722721589034,0.0645049911948935,0.16223099778319466,0.011550619936776207,-0.20090693755815858,0.0451505096023233,-0.1751881234846375,0.12574002412383248,0.25753991132898,0.3001973508152838,0.47183353299744984,-0.18466059986577135,0.1717200644119557,0.22675674535489865,-0.05457663972438771,0.02899992942244738,0.1007204478333506,-0.15230594107929124,0.01990264789045307,-0.0005436692214970335,0.0006669491118098157,-0.22598284224806106,0.052528499317129884,-0.18866577721043065,0.14190786878380615,-0.12276219104483824,-0.11783161959325196,0.23282480899416488,0.25030249997355936,0.27249950141494433,0.26425017546948204,0.3058791719724323,-0.2254745650411793,0.15751877459560948,0.14667214793152689,-0.007389265599727546,0.15831428294363029,0.1694379942667645,0.09427405757151815,0.09703012846336306,-0.010144645567926854,-0.0024992340005908433,-0.05220768662188154,-0.02395839193685766,-0.02985545002520803,-0.06848258048151626,0.029803884417080224,-0.070282340910613,0.055104761208693086,-0.02617969316315257,0.21918777632332584,0.28175649356766536,0.30132413736077424,0.41048141518248643,-0.06393933328035166,0.1620711050671177,0.11007639536883358,-0.0610767080088074,0.22596426500317524,0.1358735852374385,0.9367287753836618,-0.002511656588191193,0.9540516965466477,0.0348428193629136,0.07898192679329087,0.05255307020617742,0.08548305016297009,0.02134365830734138,0.03196835596711117,0.0004249498471190221,0.10094772556584626,0.024714483389306745,0.04863771493950814,0.07987033405773929,0.14789843832827274,-0.1015972048456107,0.19720039342649168,-0.13501489829225236,-0.021266776741127,0.028733560946148085,0.10544669835679625,-0.021256619108282998
E_UNEMP,-0.06246501037529516,0.9676479981121022,0.034070062064269734,0.9834587578847935,0.9771965784443846,0.9779837321086086,0.9811725027358085,1.0,0.21657603867394304,0.9602128147740894,0.9650895750148685,0.9765857427954491,0.97873085972821,0.9785909839450361,0.9696464279179715,0.9090563333967007,0.8755448536277457,0.555287277424974,0.8927857980112871,0.6875769423137387,0.8890491847219156,-0.03379888770429944,0.06108671361244499,0.21657603867394304,-0.018709177541703415,-0.196132279806919,0.03403994450608973,-0.19419813957019708,0.09932530460780573,0.24619933816429782,0.28584358633530055,0.4699213207724818,-0.20300929396832978,0.15435568553954102,0.20118370510490602,-0.05983048673694525,-0.022736186982668723,0.09632680890307552,-0.19172277010818956,-0.009998165337584472,-0.037164241220832256,-0.036224500510141464,-0.2226621031314372,0.04256533041467852,-0.20846824159919078,0.11631069003025776,-0.15177891361828,-0.1483369422325351,0.2283635521175693,0.253097884007361,0.2716473197706525,0.264096475805506,0.31161232891647506,-0.2485854956398071,0.14409414488159045,0.12885193708032205,-0.01652563272634713,0.13429354561737847,0.14401424201432397,0.06019568603655572,0.062280685997099086,-0.03410192709623377,-0.00600446145440167,-0.06606139132378709,-0.04219698999687959,-0.049789426546502556,-0.0677334890967407,0.017256905761788625,-0.07371159077206056,0.032833608626416745,-0.04425898751426008,0.20993138858457905,0.28100364863547667,0.2953424600876218,0.41575200025702286,-0.06972613401451892,0.14682400462852002,0.10558872154700412,-0.06505831729114751,0.21595596507136577,0.1161024488232135,0.9140729043732307,-0.03285860045343999,0.9703133390259424,0.02827141959941323,0.09429191184743427,0.052494714421778305,0.0914559352598768,0.015807614469660176,0.029352200412315683,0.01300928002513983,0.10676420973263206,0.025368258528291197,0.054956718998888154,0.09274615374289319,0.20158769221933595,-0.10395888608959544,0.1992217037011932,-0.15806764822700234,-0.01757242709033806,0.03257839340026095,0.10632854549546387,-0.020108344216339766
E_PCI,0.054807567549320896,0.2113929527669387,0.015823707826043993,0.27205216947717675,0.29080877453149584,0.2924698097607534,0.16223099778319466,0.21657603867394304,1.0,0.14432435123602586,0.2957017421171928,0.25303618962562197,0.24471405723396153,0.22286463214126007,0.17215597710292696,0.13372251461639992,0.2544911448426688,0.029151928408281895,0.13184292123240104,0.19958369359384884,0.2515067464327457,-0.7151739925061731,-0.45973970917710566,1.0,-0.6299368817074582,-0.017576237392102817,-0.13479798620101036,-0.5771970941252241,-0.3422275275846328,-0.20871047386775607,-0.005855272604706004,0.4932895152561465,-0.5643931130390363,-0.17360155560836393,-0.15713554771150468,-0.23268221330691938,-0.7285058699474003,-0.4588509918932334,-0.9189811291030039,-0.6597454023340373,-0.8080845545644912,-0.804259166605054,-0.04716760928660835,-0.10313200527995055,-0.5799197794434737,-0.3297067082869656,-0.5909537178086358,-0.5851662036567812,-0.1219561312073625,0.1336040360040453,0.009618278097017737,0.011187971584520826,0.4497238368420499,-0.6043384356229619,-0.2284527588610772,-0.32177252862924227,-0.15221128126683167,-0.35525097826141605,-0.34208173556001026,-0.6711774661820346,-0.6666061509543244,-0.4054589738757693,-0.32278766874472065,-0.473793216065729,-0.34684468202245083,-0.518737210658488,0.07555328358899299,-0.09730798023750233,-0.28760012448234595,-0.27148125438213366,-0.28032359010447333,-0.19613853584680266,0.011423353292904287,-0.1101862899491608,0.37471774417898013,-0.31362907298776777,-0.10606711053825119,-0.1502885893867751,-0.23268013247192346,-0.1794719229721835,-0.41431881025792566,0.15760152425138504,-0.40871828733836474,0.2852522165360523,-0.12100509925418464,0.3613358476997489,-0.051225500260122334,0.2234139416153677,-0.0852816080405492,0.04860124650721382,0.46191031886438905,0.13268231710398756,0.1018641260200066,0.08268939193630111,0.2528766414125106,0.9759922237837856,-0.1643579050935279,0.22327376758495068,-0.40553512223874766,0.08415282401605555,-0.027659732117154615,0.05093050800605626,0.026398596380850712
E_NOHSDP,-0.052607835742702086,0.9649417613717315,0.034299076846409246,0.9489264767400617,0.9227935652433834,0.9276252997030139,0.9682210238216374,0.9602128147740894,0.14432435123602586,1.0,0.9143517431420791,0.9482341674451068,0.9294906467885957,0.9398757318836182,0.9863289338984641,0.9802033999032801,0.8624941636111632,0.5397591601778808,0.9679914486415353,0.6449508708930274,0.829840439542733,-0.006676625250555929,0.048329215484635736,0.14432435123602586,0.04294631341369749,-0.16475848570530285,0.047483122818571734,-0.15324201814175872,0.09653009452109998,0.23251827845214101,0.3035807323973244,0.3942205724353349,-0.14718571402137068,0.18405194989930812,0.18015614321940895,-0.0498327392072631,0.004285638044620556,0.07819033526932387,-0.12856167506634225,0.051074144361494093,0.0017006786855569733,0.0027274154815015747,-0.18589935372090163,0.05383516815455262,-0.16525731010857442,0.10950173468422177,-0.10471473912830268,-0.10300316583237984,0.2009811148759137,0.2234618816225628,0.23948478659406736,0.2301866681936831,0.24216503456979713,-0.18146191333362396,0.1555252145526345,0.10699401220479993,-0.02316492373961872,0.1259649224220788,0.13494702422151966,0.08017580621770395,0.0829200963145658,-0.01670261756083263,-0.008148365761789697,-0.04186359859321166,-0.007078876528522138,-0.024772200156258046,-0.05488569627741552,0.039903972567641006,-0.055420465797591315,0.0354217738713414,-0.016922296748945787,0.21312724930553675,0.28349643255018436,0.2987585976491806,0.3256537796332418,-0.04906928645768015,0.18107805394128132,0.07631804421508503,-0.05077865538051209,0.19612989316368187,0.12956578751056586,0.9320833011685671,0.010562997166397452,0.9250870382909593,0.021311121425752224,0.07221452681799462,0.0449671506531176,0.05727515856330428,0.004801026181365291,0.017416412939613348,-0.0029207676212041475,0.09221012058917143,0.014935430862491406,0.042453002297480245,0.0610082193551555,0.13162314457270222,-0.07717352966304031,0.16620475793255401,-0.12066544199477133,-0.022778618305902262,0.027552506064093193,0.0888211473918704,-0.013939511883681305
E_AGE65,-0.06419682470643838,0.9521422778749086,0.02428591835669579,0.9829857883833207,0.9877341595059597,0.9857879822583314,0.9401345569674898,0.9650895750148685,0.2957017421171928,0.9143517431420791,1.0,0.9657910566931959,0.9822805220725944,0.952852184951717,0.921807277158793,0.8557759061324304,0.8592478310871442,0.6154948226189219,0.8480253354297572,0.6611146184518338,0.8868441214734397,-0.0872130834054416,0.023771158726038803,0.29570174211719275,-0.07003674104961434,-0.16389758064024657,-0.003992645401381114,-0.22309040915896206,0.05941146693989026,0.21834118482838982,0.27434250280588013,0.5122783944734557,-0.23530934609612986,0.1271698489608878,0.17709730261270712,-0.07529220327963132,-0.07906710011083302,0.060491522946948616,-0.2578145756238496,-0.0628224462992952,-0.09883627623013966,-0.09810361191949153,-0.2004327491288296,0.004591811930656905,-0.2378140231800192,0.07718334565782721,-0.19871503318397404,-0.19480264740427303,0.22234580710536947,0.27694302710230373,0.2820516572973966,0.2763940560640111,0.36469929007094715,-0.28386926005633645,0.1257939976966925,0.1209773446970376,-0.0253818967537582,0.1272102623756873,0.1349222698089353,0.017977196361296455,0.018256541414704862,-0.06720632458915869,-0.05010707549627864,-0.08929338819486816,-0.07144537990476363,-0.09315976838819265,-0.05404382850504335,-0.014284193767170963,-0.08930779102136471,-0.012674649016684223,-0.0823744329747953,0.16133577809894123,0.2705644241214124,0.26001432787897155,0.4576434406991578,-0.08711211533417873,0.12538632079334852,0.0910283450351898,-0.08241770126561869,0.20382958118664402,0.07139678330965359,0.882287319474682,-0.06717689319725333,0.9782951902320141,0.02673766492195378,0.12256740070847416,0.060737294405460614,0.10508273243388815,0.01450354542102703,0.035159550128579346,0.04805527938737271,0.12702520419967664,0.036559320058995926,0.061042624400599585,0.11442760842515202,0.27745363054905636,-0.11137850193385476,0.2222727475727697,-0.1951383036627025,-0.007636469836688474,0.033983768593971925,0.11940052448084791,-0.018190501141407137
