,Statefips,Countyfips,Year,Social_Context_Code,Social_Context_Domain_Data,UID,code3,first_year_cases,Social_Context_Code_Description_Agreeableness,Social_Context_Code_Description_Belief In Science,Social_Context_Code_Description_Collectivism,Social_Context_Code_Description_Conflict Awareness,Social_Context_Code_Description_Conscientiousness,Social_Context_Code_Description_Empathy,Social_Context_Code_Description_Employment Rate,Social_Context_Code_Description_Entrepreneurship,Social_Context_Code_Description_Extraversion,Social_Context_Code_Description_Gender Equality,Social_Context_Code_Description_Hopefulness,Social_Context_Code_Description_Income Mobility,Social_Context_Code_Description_Income Per Capita,Social_Context_Code_Description_Neuroticism,Social_Context_Code_Description_Openness,Social_Context_Code_Description_Religiosity,Social_Context_Code_Description_Risk Taking,Social_Context_Code_Description_Selflessness,Social_Context_Code_Description_Tolerance,Social_Context_Code_Description_Work Ethic
Statefips,1.0,0.15695054377217157,,0.0007390736879050215,0.0035202215149224714,0.9999808473202262,,-0.057283637908535814,8.39482856281356e-05,8.39482856291015e-05,8.39482856290176e-05,8.3948285629161e-05,8.39482856283387e-05,8.394828562888832e-05,0.00022200784195842627,0.0005136538615910987,8.394828562828654e-05,8.394828562870847e-05,8.394828562867101e-05,-0.002401020839330563,0.0002220078419586533,8.394828562819731e-05,8.3948285628496e-05,8.39482856286926e-05,8.394828562867177e-05,8.394828562854218e-05,8.394828562831373e-05,8.394828562799617e-05
Countyfips,0.15695054377217157,1.0,,0.0007138356902697201,-0.0028116558677733624,0.12637120161681092,,-0.034468633408981555,8.104132435101539e-05,8.10413243511083e-05,8.104132435109329e-05,8.104132435112982e-05,8.104132435108307e-05,8.10413243510506e-05,-2.1273402052525015e-05,-0.0002799938297507267,8.104132435099027e-05,8.104132435101825e-05,8.104132435104762e-05,-0.0010168867899754042,-2.1273402052496525e-05,8.104132435092002e-05,8.104132435098678e-05,8.104132435101204e-05,8.10413243510447e-05,8.104132435104777e-05,8.104132435102255e-05,8.104132435100132e-05
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Social_Context_Code,0.0007390736879050215,0.0007138356902697201,,1.0,-0.4448414957335344,0.0012477805270911678,,-0.0018396176226182397,0.07239501038959557,0.09956508779071692,0.10499910327094081,0.11043311875116504,0.07782902586981993,0.11586713423138893,-0.45462751688658826,-0.4706875369274685,0.08326304135004398,0.1213011497116143,0.12673516519183842,-0.44405010879014334,-0.46006061247361335,0.08869705683026864,0.09413107231049242,0.1321691806720621,0.13760319615228642,0.14303721163251074,0.1484712271127348,0.15390524259295857
Social_Context_Domain_Data,0.0035202215149224714,-0.0028116558677733624,,-0.4448414957335344,1.0,0.003564875551095719,,0.01007587291459427,-0.05067819640702016,-0.051431624137830076,-0.051410514261665194,-0.051774753947962,-0.05076941804184051,-0.050959166646673604,-0.050279046280532855,-0.05370857194816497,-0.05060504812770566,-0.05136377839992091,-0.05081639076456551,-0.05166287683895558,0.971475718136725,-0.05095892452858665,-0.05094263526803996,-0.05126197219614755,-0.05122138608772696,-0.05103678909064841,-0.051350461821563005,-0.05130034369565897
UID,0.9999808473202262,0.12637120161681092,,0.0012477805270911678,0.003564875551095719,1.0,0.9990142510301198,-0.0023345151001357366,0.0008998959399705668,0.0008998959399704804,0.0008998959399705109,0.0008998959399705631,0.0008998959399704762,0.0008998959399705741,0.0008998959399705804,0.0009124691461855421,0.0008998959399704569,0.0008998959399706002,0.0008998959399705658,0.0007147250097785268,0.0008998959399706055,0.0008998959399705076,0.0008998959399704107,0.0008998959399705886,0.0008998959399705598,0.0008998959399705364,0.0008998959399704074,0.0008998959399705152
code3,,,,,,0.9990142510301198,1.0,0.000217338525631035,0.0009270957786952608,0.0009270957786952676,0.0009270957786952681,0.0009270957786952703,0.0009270957786952601,0.0009270957786952756,0.0009270957786952629,0.0009266201870936454,0.0009270957786952629,0.0009270957786952753,0.0009270957786952673,0.0008844604630276776,0.0009270957786952674,0.0009270957786952632,0.0009270957786952671,0.0009270957786952716,0.0009270957786952704,0.0009270957786952717,0.0009270957786952719,0.0009270957786952772
first_year_cases,-0.057283637908535814,-0.034468633408981555,,-0.0018396176226182397,0.01007587291459427,-0.0023345151001357366,0.000217338525631035,1.0,-0.00016308215699149906,-0.00016308215699157016,-0.00016308215699157487,-0.00016308215699158593,-0.00016308215699150172,-0.0001630821569916169,-0.00016308215699151736,-0.001145825779299183,-0.0001630821569915106,-0.0001630821569916129,-0.00016308215699156238,0.005222946976422687,-0.00016308215699153595,-0.00016308215699154294,-0.0001630821569915622,-0.00016308215699160076,-0.0001630821569915901,-0.00016308215699158187,-0.0001630821569915745,-0.00016308215699161122
Social_Context_Code_Description_Agreeableness,8.39482856281356e-05,8.104132435101539e-05,,0.07239501038959557,-0.05067819640702016,0.0008998959399705668,0.0009270957786952608,-0.00016308215699149906,1.0,-0.05278791479249814,-0.05278791479249815,-0.05278791479249819,-0.052787914792498294,-0.05278791479249819,-0.0527789793842463,-0.05275216589931664,-0.0527879147924983,-0.05278791479249829,-0.0527879147924983,-0.05034783524443621,-0.05277897938424624,-0.05278791479249813,-0.05278791479249829,-0.05278791479249849,-0.052787914792498,-0.05278791479249801,-0.05278791479249818,-0.052787914792498246
Social_Context_Code_Description_Belief In Science,8.39482856291015e-05,8.10413243511083e-05,,0.09956508779071692,-0.051431624137830076,0.0008998959399704804,0.0009270957786952676,-0.00016308215699157016,-0.05278791479249814,1.0,-0.05278791479249798,-0.05278791479249805,-0.0527879147924981,-0.05278791479249794,-0.05277897938424613,-0.05275216589931665,-0.052787914792497975,-0.05278791479249796,-0.052787914792498024,-0.05034783524443651,-0.05277897938424617,-0.05278791479249835,-0.05278791479249844,-0.05278791479249814,-0.052787914792497975,-0.05278791479249798,-0.05278791479249803,-0.052787914792498045
