County,State,Population,Total_cases,Total_deaths
Autauga,ALABAMA,55869,9780,142
Baldwin,ALABAMA,223234,36579,518
Barbour,ALABAMA,24686,3519,71
Bibb,ALABAMA,22394,4157,83
Blount,ALABAMA,57826,9870,162
Bullock,ALABAMA,10101,1507,44
Butler,ALABAMA,19448,3210,91
Calhoun,ALABAMA,113605,21719,433
Chambers,ALABAMA,33254,5493,138
Cherokee,ALABAMA,26196,2950,57
Chilton,ALABAMA,44428,6476,146
Choctaw,ALABAMA,12589,777,27
Clarke,ALABAMA,23622,4687,80
Clay,ALABAMA,13235,2326,66
Cleburne,ALABAMA,14910,2434,53
Coffee,ALABAMA,52342,9065,183
Colbert,ALABAMA,55241,8640,187
Conecuh,ALABAMA,12067,1835,49
Coosa,ALABAMA,10663,1741,36
Covington,ALABAMA,37049,6550,170
Crenshaw,ALABAMA,13772,2410,72
Cullman,ALABAMA,83768,14938,278
Dale,ALABAMA,49172,8735,178
Dallas,ALABAMA,37196,4760,190
DeKalb,ALABAMA,71513,12343,248
Elmore,ALABAMA,81209,14709,273
Escambia,ALABAMA,36633,6646,124
Etowah,ALABAMA,102268,19564,474
Fayette,ALABAMA,16302,2836,74
Franklin,ALABAMA,31362,5876,103
Geneva,ALABAMA,26271,4498,121
Greene,ALABAMA,8111,1228,44
Hale,ALABAMA,14651,2943,86
Henry,ALABAMA,17205,3058,61
Houston,ALABAMA,105882,17040,391
Jackson,ALABAMA,51626,9551,164
Jefferson,ALABAMA,658573,112903,1815
Lamar,ALABAMA,13805,2025,45
Lauderdale,ALABAMA,92729,13786,284
Lawrence,ALABAMA,32924,4173,109
Lee,ALABAMA,164542,22910,228
Limestone,ALABAMA,98915,14882,193
Lowndes,ALABAMA,9726,1719,60
Macon,ALABAMA,18068,2246,58
Madison,ALABAMA,372909,51041,649
Marengo,ALABAMA,18863,3292,88
Marion,ALABAMA,29709,4873,125
Marshall,ALABAMA,96774,18042,282
Mobile,ALABAMA,413210,71400,1269
Monroe,ALABAMA,20733,3241,58
Montgomery,ALABAMA,226486,33540,694
Morgan,ALABAMA,119679,20202,346
Out of AL,ALABAMA,0,0,0
Perry,ALABAMA,8923,1368,38
Pickens,ALABAMA,19930,3101,77
Pike,ALABAMA,33114,4668,101
Randolph,ALABAMA,22722,3191,58
Russell,ALABAMA,57961,6160,57
Shelby,ALABAMA,217702,36773,322
St. Clair,ALABAMA,89512,15653,326
Sumter,ALABAMA,12427,1256,37
Talladega,ALABAMA,79978,13303,253
Tallapoosa,ALABAMA,40367,6828,189
Tuscaloosa,ALABAMA,209355,34420,567
Unassigned,ALABAMA,0,0,0
Walker,ALABAMA,63521,10791,341
Washington,ALABAMA,16326,2477,49
Wilcox,ALABAMA,10373,1641,37
Winston,ALABAMA,23629,4337,98
Aleutians East,ALASKA,3337,430,3
Aleutians West,ALASKA,5634,913,1
Anchorage,ALASKA,288000,48255,279
Bethel,ALASKA,18386,5196,25
Bristol Bay,ALASKA,836,0,0
Bristol Bay plus Lake and Peninsula,ALASKA,1592,370,0
Chugach,ALASKA,6751,948,3
Copper River,ALASKA,2699,479,1
Denali,ALASKA,2097,239,1
Dillingham,ALASKA,4916,616,5
Fairbanks North Star,ALASKA,96849,13125,66
Haines,ALASKA,2530,216,0
Hoonah-Angoon,ALASKA,2148,0,0
Juneau,ALASKA,31974,3281,9
Kenai Peninsula,ALASKA,58708,8948,43
Ketchikan Gateway,ALASKA,13901,1475,8
Kodiak Island,ALASKA,12998,2128,7
Kusilvak,ALASKA,8314,1810,5
Matanuska-Susitna,ALASKA,108317,18237,84
Nome,ALASKA,10004,1070,0
North Slope,ALASKA,9832,2338,5
Northwest Arctic,ALASKA,7621,1267,4
Out of AK,ALASKA,0,0,0
Petersburg,ALASKA,3266,255,3
Prince of Wales-Hyder,ALASKA,6203,468,5
Sitka,ALASKA,8493,1124,5
Skagway,ALASKA,1183,72,0
Southeast Fairbanks,ALASKA,6893,1060,9
Unassigned,ALASKA,0,485,0
Valdez-Cordova,ALASKA,9202,0,0
Wrangell,ALASKA,2502,142,0
Yakutat,ALASKA,579,164,2
Yukon-Koyukuk,ALASKA,5230,592,5
,AMERICAN SAMOA,55641,0,0
Apache,ARIZONA,71887,13172,474
Cochise,ARIZONA,125922,14494,330
Coconino,ARIZONA,143476,21564,349
Gila,ARIZONA,54018,9058,262
Graham,ARIZONA,38837,7025,101
Greenlee,ARIZONA,9498,976,15
La Paz,ARIZONA,21108,3040,92
Maricopa,ARIZONA,4485414,700319,11558
Mohave,ARIZONA,212181,31476,936
Navajo,ARIZONA,110924,19857,598
Out of AZ,ARIZONA,0,0,0
Pima,ARIZONA,1047279,136151,2660
Pinal,ARIZONA,462789,69272,1022
Santa Cruz,ARIZONA,46498,8824,190
Unassigned,ARIZONA,0,0,0
Yavapai,ARIZONA,235099,26387,645
Yuma,ARIZONA,213787,40807,905
Arkansas,ARKANSAS,17486,3397,56
Ashley,ARKANSAS,19657,3109,42
Baxter,ARKANSAS,41932,5701,170
Benton,ARKANSAS,279141,40914,580
Boone,ARKANSAS,37432,6054,114
Bradley,ARKANSAS,10763,1930,37
Calhoun,ARKANSAS,5189,583,7
Carroll,ARKANSAS,28380,4202,67
Chicot,ARKANSAS,10118,1993,44
Clark,ARKANSAS,22320,3133,51
Clay,ARKANSAS,14551,2623,59
Cleburne,ARKANSAS,24919,3567,88
Cleveland,ARKANSAS,7956,1356,32
Columbia,ARKANSAS,23457,3305,66
Conway,ARKANSAS,20846,3091,42
Craighead,ARKANSAS,110332,20918,236
Crawford,ARKANSAS,63257,10380,165
Crittenden,ARKANSAS,47955,8553,123
Cross,ARKANSAS,16419,2849,59
Dallas,ARKANSAS,7009,1122,18
Desha,ARKANSAS,11361,1842,29
Drew,ARKANSAS,18219,2811,54
Faulkner,ARKANSAS,126007,19049,214
Franklin,ARKANSAS,17715,2664,52
Fulton,ARKANSAS,12477,1654,55
Garland,ARKANSAS,99386,15654,372
Grant,ARKANSAS,18265,2831,47
Greene,ARKANSAS,45325,9732,116
Hempstead,ARKANSAS,21532,2852,26
Hot Spring,ARKANSAS,33771,7396,105
Howard,ARKANSAS,13202,2337,30
Independence,ARKANSAS,37825,6040,152
Izard,ARKANSAS,13629,2398,55
Jackson,ARKANSAS,16719,4041,42
Jefferson,ARKANSAS,66824,12221,225
Johnson,ARKANSAS,26578,4462,56
Lafayette,ARKANSAS,6624,821,13
Lawrence,ARKANSAS,16406,3160,53
Lee,ARKANSAS,8857,2052,47
Lincoln,ARKANSAS,13024,3621,55
Little River,ARKANSAS,12259,1956,47
Logan,ARKANSAS,21466,3474,36
Lonoke,ARKANSAS,73309,11659,171
Madison,ARKANSAS,16576,2417,35
Marion,ARKANSAS,16694,2091,55
Miller,ARKANSAS,43257,6243,47
Mississippi,ARKANSAS,40651,8007,130
Monroe,ARKANSAS,6701,1173,21
Montgomery,ARKANSAS,8986,1105,41
Nevada,ARKANSAS,8252,1308,30
Newton,ARKANSAS,7753,1150,34
Ouachita,ARKANSAS,23382,3361,75
Out of AR,ARKANSAS,0,0,0
Perry,ARKANSAS,10455,1469,20
Phillips,ARKANSAS,17782,3120,71
Pike,ARKANSAS,10718,1646,35
Poinsett,ARKANSAS,23528,4770,97
Polk,ARKANSAS,19964,2876,101
Pope,ARKANSAS,64072,11665,150
Prairie,ARKANSAS,8062,1271,28
Pulaski,ARKANSAS,391911,57584,880
Randolph,ARKANSAS,17958,3179,51
Saline,ARKANSAS,122437,18134,237
Scott,ARKANSAS,10281,1667,25
Searcy,ARKANSAS,7881,1233,24
Sebastian,ARKANSAS,127827,21674,347
Sevier,ARKANSAS,17007,3711,36
Sharp,ARKANSAS,17442,2716,62
