Importance,Features
0.005405038,EPL_LIMENG
0.005489699,EP_LIMENG
0.005881428,EP_POV
0.005926887,RPL_THEME1
0.005961947,EPL_POV
0.005974156,RPL_THEMES
0.006016176,SPL_THEME1
0.006337409,SPL_THEME2
0.006689621,RPL_THEME2
0.006771775,SPL_THEMES
0.007344365,SPL_THEME3
0.007635627,RPL_THEME3
0.007771595,RPL_THEME4
0.007983405,EP_DISABL
0.008040684,SPL_THEME4
0.008069739,EPL_DISABL
0.00819705,EPL_NOVEH
0.008202307,EPL_SNGPNT
0.008282887,EP_NOVEH
0.00838908,EPL_MUNIT
0.008466341,EPL_PCI
0.008713029,EP_MOBILE
0.008755888,EP_PCI
0.008772546,EP_MUNIT
0.00882884,EP_SNGPNT
0.008913138,EP_CROWD
0.009824907,EPL_MOBILE
0.009943762,EPL_CROWD
0.01106371,EPL_AGE65
0.011396337,Selflessness
0.011619862,EP_MINRTY
0.012208771,Risk Taking
0.01281851,EP_AGE65
0.012895274,EPL_MINRTY
0.013645172,Extraversion
0.014063282,Hopefulness
0.014257158,Agreeableness
0.014344036,Religiosity
0.014908667,EPL_UNEMP
0.015039579,Collectivism
0.015045866,Gender Equality
0.015537256,Belief In Science
0.015592976,Tolerance
0.015780807,Conscientiousness
0.015928228,Conflict Awareness
0.016077558,Income Per Capita
0.01646848,EP_UNEMP
0.016699361,EP_NOHSDP
0.017142177,Openness
0.017907868,EPL_NOHSDP
0.018288607,Work Ethic
0.01990506,Employment Rate
0.023783853,EP_UNINSUR
0.02949208,EP_GROUPQ
0.029869765,num_beds
0.030176671,AREA_SQMI
0.030461131,Empathy
0.030766384,EPL_GROUPQ
0.032234929,Entrepreneurship
0.035240716,Neuroticism
0.038128214,dem_pct
0.073414299,EP_AGE17
0.075208029,EPL_AGE17
