FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE,3/31/21,BEDS,dem_pct
1001,55688,36.94,40.85,22.2,99,85.0,27.018365142239823
1003,221898,35.43,40.81,23.76,301,332.0,22.409029987509005
1005,22023,22.81,41.64,35.54,55,74.0,45.78817265639856
1007,20393,30.79,44.06,25.14,58,35.0,20.698280354351223
1009,57697,31.53,41.51,26.97,131,40.0,9.569377990430622
1011,8600,24.12,41.09,34.79,40,61.0,74.70192933015392
1013,19410,27.98,39.38,32.64,66,94.0,41.78962900505902
1015,111694,31.49,39.56,28.95,305,552.0,29.845242531824333
1017,33117,28.56,38.64,32.8,117,115.0,41.644857367181366
1019,26116,28.24,42.29,29.48,43,60.0,13.202178684659785
1021,44257,28.16,45.97,25.88,109,26.0,15.91403417918177
1023,12553,22.54,43.18,34.27,24,25.0,41.89442658092176
1025,23522,24.65,43.7,31.66,59,114.0,43.81423677198325
1027,13159,24.45,43.53,32.02,54,45.0,18.282828282828284
1029,14819,35.28,40.53,24.19,41,0.0,9.339975093399753
1031,52203,34.37,40.74,24.89,110,131.0,22.78787878787879
1033,55083,32.86,40.2,26.95,126,363.0,29.91823854263788
1035,12022,30.19,34.26,35.54,26,58.0,46.04875019406924
1037,10511,26.91,39.3,33.78,24,0.0,32.779704325606865
1039,36877,27.36,40.85,31.79,111,210.0,15.611015490533564
1041,13772,25.72,41.41,32.87,57,65.0,25.691400936980507
1043,83277,31.22,44.23,24.55,186,145.0,10.699863802537571
1045,49090,28.75,42.95,28.3,109,89.0,26.193130003039823
1047,36952,25.38,40.38,34.25,148,175.0,68.46171070309002
1049,71306,32.12,40.27,27.61,179,134.0,14.583049461779536
1051,77512,37.57,39.17,23.26,202,138.0,25.26687789422374
1053,34309,26.77,41.85,31.38,74,142.0,30.91137649277184
1055,101051,31.43,40.89,27.68,343,627.0,24.23524974857526
1057,16197,26.59,42.08,31.34,59,61.0,15.91375770020534
1059,31274,27.7,43.9,28.4,82,125.0,16.584512641119414
1061,26218,33.6,37.12,29.29,74,83.0,12.714228776404942
1063,8111,18.9,40.27,40.83,34,20.0,81.34031413612566
1065,14597,23.5,43.44,33.05,73,39.0,59.0253164556962
1067,17135,27.65,40.62,31.73,42,0.0,28.02753280275328
1069,105267,32.39,40.66,26.95,272,655.0,27.975223615532883
1071,51420,29.7,45.22,25.08,106,170.0,15.726011169402607
1073,648693,34.5,40.03,25.47,1464,5602.0,55.758513171785616
1075,13753,29.2,42.19,28.61,33,0.0,13.596552203531212
1077,91069,31.87,41.94,26.18,219,263.0,26.87250501815557
1079,32816,31.64,35.41,32.95,94,98.0,22.21944981598153
1081,160116,38.29,43.21,18.5,166,314.0,38.992848045459
1083,96560,36.65,43.16,20.19,145,71.0,27.768863613283237
1085,9692,17.65,45.27,37.07,53,0.0,72.74323335771763
1087,16594,21.64,41.82,36.54,47,143.0,81.48572738736674
1089,366657,40.04,39.77,20.19,489,1088.0,44.81560017867503
1091,18794,24.76,38.82,36.42,58,99.0,50.348623853211
