FIPS,POPUNI,PRED0_PE,PRED12_PE,PRED3_PE
1001,55688,36.94,40.85,22.2
1003,221898,35.43,40.81,23.76
1005,22023,22.81,41.64,35.54
1007,20393,30.79,44.06,25.14
1009,57697,31.53,41.51,26.97
1011,8600,24.12,41.09,34.79
1013,19410,27.98,39.38,32.64
1015,111694,31.49,39.56,28.95
1017,33117,28.56,38.64,32.8
1019,26116,28.24,42.29,29.48
1021,44257,28.16,45.97,25.88
1023,12553,22.54,43.18,34.27
1025,23522,24.65,43.7,31.66
1027,13159,24.45,43.53,32.02
1029,14819,35.28,40.53,24.19
1031,52203,34.37,40.74,24.89
1033,55083,32.86,40.2,26.95
1035,12022,30.19,34.26,35.54
1037,10511,26.91,39.3,33.78
1039,36877,27.36,40.85,31.79
1041,13772,25.72,41.41,32.87
1043,83277,31.22,44.23,24.55
1045,49090,28.75,42.95,28.3
1047,36952,25.38,40.38,34.25
1049,71306,32.12,40.27,27.61
1051,77512,37.57,39.17,23.26
1053,34309,26.77,41.85,31.38
1055,101051,31.43,40.89,27.68
1057,16197,26.59,42.08,31.34
1059,31274,27.7,43.9,28.4
1061,26218,33.6,37.12,29.29
1063,8111,18.9,40.27,40.83
1065,14597,23.5,43.44,33.05
1067,17135,27.65,40.62,31.73
1069,105267,32.39,40.66,26.95
1071,51420,29.7,45.22,25.08
1073,648693,34.5,40.03,25.47
1075,13753,29.2,42.19,28.61
1077,91069,31.87,41.94,26.18
1079,32816,31.64,35.41,32.95
1081,160116,38.29,43.21,18.5
1083,96560,36.65,43.16,20.19
1085,9692,17.65,45.27,37.07
1087,16594,21.64,41.82,36.54
1089,366657,40.04,39.77,20.19
1091,18794,24.76,38.82,36.42
1093,29285,28.35,45.38,26.27
1095,96357,31.64,41.65,26.7
1097,409100,31.82,42.28,25.9
1099,20678,24.93,37.16,37.91
1101,219377,30.11,42.03,27.86
1103,118554,31.19,44.1,24.71
1105,8349,23.18,39.93,36.89
1107,18216,22.59,42.06,35.35
1109,31132,29.06,45.8,25.14
1111,22498,32.52,36.99,30.49
1113,57670,32.79,41.18,26.03
1115,88245,32.95,44.42,22.62
1117,215942,42.66,40.06,17.28
1119,11680,22.14,38.97,38.89
1121,77874,27.11,42.05,30.84
1123,40221,26.52,41.44,32.04
1125,200924,34.92,40.83,24.25
1127,63156,29.52,40.11,30.38
1129,16259,34.84,33.05,32.11
1131,10335,23.68,33.99,42.33
1133,23573,30.36,35.57,34.07
2013,3337,10.67,49.75,39.59
2016,5632,19.3,62.43,18.27
2020,286703,35.19,48.35,16.46
2050,18183,9.55,41.76,48.68
2060,836,26.08,43.54,30.38
2068,2097,23.89,59.61,16.5
2070,4914,7.61,49.06,43.33
2090,95680,35.03,48.57,16.4
2100,2530,18.46,48.34,33.2
2105,2148,10.8,50.05,39.15
2110,31315,37.0,44.42,18.57
2122,57717,23.89,56.04,20.08
2130,13802,30.47,48.12,21.42
2150,12935,26.15,55.06,18.79
2158,8314,4.75,37.7,57.55
