FIPS,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP
1001,594.4434589,55200,23315,21115,8422,1065,29372,4204,8050,13369,10465,1586,13788,426,886,4279,299,1191,546,3875,37301
1009,644.8304602,57645,24222,20600,8220,909,22656,7861,10233,13468,8114,1437,7413,934,211,6108,339,856,543,6303,40036
1013,776.8382008,20025,10026,6708,4640,567,20430,2141,3806,4566,3492,704,9641,93,134,2625,119,520,322,2005,17280
1015,605.8672514,115098,53682,45033,20819,4628,24706,12620,19386,25196,23598,4701,31675,1076,1990,7904,772,2599,3112,10686,117894
1017,596.560643,33826,16981,13516,5531,773,22827,4383,6409,7006,5570,1307,14954,36,679,2378,404,989,512,3613,27176
1031,678.9858208,51288,23088,19789,7604,1371,27577,4833,8375,12161,8788,1928,15065,664,215,3140,272,1189,601,5004,44908
1033,592.7446865,54495,26466,21799,8785,1397,24918,6016,10502,11608,10086,1791,11630,175,587,2455,83,1322,436,4353,56580
1039,1030.5560529,37351,18907,15008,6702,1428,23071,4530,7650,8190,7703,1358,6205,129,249,4081,320,785,666,4116,35253
1043,734.7802988,82313,37652,30730,12831,1903,22980,10405,14803,18572,14310,2057,6487,447,959,8615,555,1279,1200,9631,76993
1045,561.1006284,49255,23065,18670,8798,1738,23837,4732,7939,11506,9906,1538,15250,461,277,4200,313,1023,1263,5274,47664
1051,618.4462511,81212,34004,29143,9462,2219,27475,7594,11770,18239,13646,2679,21741,509,895,5123,422,1364,4424,6227,61316
1055,535.2816213,102939,47705,38777,17524,2945,24065,11147,18877,22281,19976,3443,22565,1184,1484,5228,462,2441,1340,10662,97106
1067,561.7500782,17124,9096,6669,2270,494,24069,2412,3696,3587,3145,474,5319,51,71,2358,52,369,311,1917,13595
1069,579.8690621,104352,47187,39253,18913,3354,25990,10261,17615,24386,18385,4080,34526,581,2403,6473,487,2438,938,10737,106936
1071,1077.986767,52094,25106,20626,10418,1277,21608,6526,9972,11159,9712,1525,5557,219,354,4912,446,940,660,4974,46376
1077,668.0128629,92585,44792,38514,13703,2267,27189,7979,17876,18522,13503,2923,14084,504,2357,4083,475,2698,2209,8328,80602
1079,690.6840635,33171,15373,12811,5508,766,23557,4919,5787,7232,6750,937,7781,62,128,3458,195,705,232,2686,22621
1083,559.955192,93052,36069,32126,12384,2957,27699,10123,13723,21412,14690,2435,21498,837,1297,4536,588,1171,2872,8634,78218
1089,801.5829707,357560,159299,145256,45960,10632,35526,21617,51308,79195,46042,11785,125445,3762,16210,7081,1939,7103,8842,31451,377577
1095,565.8447822,95145,40630,34896,20354,2091,23833,12151,15941,23654,14599,3207,17848,3549,660,6000,912,1675,1030,12367,91060
1097,1229.3692434,414659,183164,155831,78208,11514,25215,38247,63650,98337,57257,16849,177672,2858,16422,14083,3108,10391,8948,47466,385627
1103,579.389645,119122,51951,45646,17920,2815,25907,13706,19865,27384,19687,4170,28625,2348,2715,5771,1098,2415,1865,11937,110465
1111,580.5491197,22574,12056,8643,3912,451,23247,3340,4512,4914,3193,706,5583,58,197,2832,253,605,489,2345,18092
1113,641.1523375,58213,27426,22740,11491,2000,22055,6495,7776,14358,10638,2604,30859,560,890,4266,713,2230,574,7590,45228
1115,631.6030046,87306,36628,32172,11268,2188,24861,9255,13891,19998,14055,2319,12197,391,619,8772,277,979,2200,7553,67607
1117,785.3750191,211261,86077,78328,17557,4411,36576,11258,30125,50611,23579,4696,46203,3147,6573,6867,875,2305,2989,14284,186485
1121,736.7818207,80565,37669,31407,15401,3004,22498,10671,13757,17348,14937,3259,29910,378,859,8898,407,2466,3408,7202,74532
2261,34221.8900087,9301,6178,3093,747,335,38507,259,1152,2199,1101,183,2823,24,386,700,70,220,249,1421,9246
4021,5365.8364121,419721,171368,137286,55859,12785,23653,41961,80907,98104,59854,11401,179852,13357,3800,32765,5022,5973,26513,34803,305571
5009,589.9903538,37288,16971,14870,5455,740,23998,3375,7491,8513,6918,1141,2228,17,496,1988,364,826,520,2491,36755
5011,649.2361007,10948,5810,4537,2513,368,22411,1352,2014,2598,2324,487,4854,311,138,1020,158,424,196,1246,10559
5033,591.1948314,62472,26738,23701,9830,1386,23851,6227,10068,15486,12464,2075,9634,704,650,3268,708,927,600,5527,55498
5037,616.3816533,16998,7963,6694,2793,458,24486,1974,3052,4083,3342,721,4614,10,115,1248,141,471,227,1229,13882
5045,647.938881,122416,49817,44095,19697,2818,26163,6483,14488,28726,17728,3378,24122,774,4522,6038,820,2134,4888,11725,107084
5047,608.8497728,17780,8063,6800,3823,213,20262,2106,3361,4172,3667,356,1406,70,101,1247,209,369,345,1020,15921
5051,677.7211186,98296,50862,39894,17961,3076,26791,8243,22442,20063,19870,3899,17407,1126,3782,6921,713,3069,2152,10831,97726
5053,631.8112607,18086,7981,6780,2589,579,25907,1065,3116,4149,3536,562,1314,14,255,2106,112,172,163,902,14090
