GEO_ID,STATE,COUNTY,NAME,POPUNI,PRED0_E,PRED0_M,PRED0_PE,PRED0_PM,PRED12_E,PRED12_M,PRED12_PE,PRED12_PM,PRED3_E,PRED3_M,PRED3_PE,PRED3_PM
0500000US01001,01,001,"Autauga County, Alabama",55688,20573,6265,36.94,11.25,22750,6438,40.85,11.56,12365,5420,22.20,9.73
0500000US01003,01,003,"Baldwin County, Alabama",221898,78622,21331,35.43,9.61,90552,22201,40.81,10.00,52724,19171,23.76,8.64
0500000US01005,01,005,"Barbour County, Alabama",22023,5024,2126,22.81,9.65,9171,2424,41.64,11.01,7828,2321,35.54,10.54
0500000US01007,01,007,"Bibb County, Alabama",20393,6280,2060,30.79,10.10,8986,2212,44.06,10.85,5127,2004,25.14,9.82
0500000US01009,01,009,"Blount County, Alabama",57697,18189,4926,31.53,8.54,23950,5265,41.51,9.13,15558,4717,26.97,8.18
0500000US01011,01,011,"Bullock County, Alabama",8600,2074,1082,24.12,12.58,3534,1300,41.09,15.11,2992,1272,34.79,14.79
0500000US01013,01,013,"Butler County, Alabama",19410,5431,1965,27.98,10.12,7643,2210,39.38,11.39,6336,2104,32.64,10.84
0500000US01015,01,015,"Calhoun County, Alabama",111694,35169,11383,31.49,10.19,44189,11996,39.56,10.74,32336,10527,28.95,9.42
0500000US01017,01,017,"Chambers County, Alabama",33117,9457,3237,28.56,9.77,12798,3596,38.64,10.86,10862,3381,32.80,10.21
0500000US01019,01,019,"Cherokee County, Alabama",26116,7374,2527,28.24,9.67,11044,2702,42.29,10.35,7698,2462,29.48,9.43
0500000US01021,01,021,"Chilton County, Alabama",44257,12461,4428,28.16,10.00,20344,4750,45.97,10.73,11452,4265,25.88,9.64
0500000US01023,01,023,"Choctaw County, Alabama",12553,2830,1275,22.54,10.15,5421,1422,43.18,11.33,4302,1357,34.27,10.81
0500000US01025,01,025,"Clarke County, Alabama",23522,5797,2653,24.65,11.28,10278,2965,43.70,12.61,7447,2812,31.66,11.95
0500000US01027,01,027,"Clay County, Alabama",13159,3217,1406,24.45,10.69,5728,1516,43.53,11.52,4214,1395,32.02,10.60
0500000US01029,01,029,"Cleburne County, Alabama",14819,5228,1531,35.28,10.33,6006,1623,40.53,10.95,3585,1452,24.19,9.80
0500000US01031,01,031,"Coffee County, Alabama",52203,17942,5241,34.37,10.04,21267,5420,40.74,10.38,12994,4590,24.89,8.79
0500000US01033,01,033,"Colbert County, Alabama",55083,18099,5557,32.86,10.09,22141,5741,40.20,10.42,14843,4960,26.95,9.00
0500000US01035,01,035,"Conecuh County, Alabama",12022,3630,1378,30.19,11.47,4119,1575,34.26,13.10,4273,1519,35.54,12.63
0500000US01037,01,037,"Coosa County, Alabama",10511,2829,1128,26.91,10.73,4131,1251,39.30,11.90,3551,1185,33.78,11.27
0500000US01039,01,039,"Covington County, Alabama",36877,10089,3536,27.36,9.59,15065,3814,40.85,10.34,11723,3491,31.79,9.47
0500000US01041,01,041,"Crenshaw County, Alabama",13772,3542,1421,25.72,10.32,5703,1543,41.41,11.20,4527,1430,32.87,10.38
0500000US01043,01,043,"Cullman County, Alabama",83277,25997,7516,31.22,9.03,36832,7969,44.23,9.57,20448,7085,24.55,8.51
0500000US01045,01,045,"Dale County, Alabama",49090,14114,4452,28.75,9.07,21082,4857,42.95,9.89,13894,4403,28.30,8.97
0500000US01047,01,047,"Dallas County, Alabama",36952,9377,3812,25.38,10.32,14920,4464,40.38,12.08,12655,4294,34.25,11.62
0500000US01049,01,049,"DeKalb County, Alabama",71306,22907,6329,32.12,8.88,28714,6849,40.27,9.61,19685,6180,27.61,8.67
0500000US01051,01,051,"Elmore County, Alabama",77512,29122,7492,37.57,9.67,30362,7927,39.17,10.23,18028,6994,23.26,9.02
0500000US01053,01,053,"Escambia County, Alabama",34309,9184,3309,26.77,9.65,14358,3637,41.85,10.60,10767,3379,31.38,9.85
0500000US01055,01,055,"Etowah County, Alabama",101051,31759,10191,31.43,10.08,41321,10890,40.89,10.78,27971,9790,27.68,9.69
0500000US01057,01,057,"Fayette County, Alabama",16197,4306,1657,26.59,10.23,6815,1788,42.08,11.04,5076,1642,31.34,10.14
0500000US01059,01,059,"Franklin County, Alabama",31274,8663,3241,27.70,10.36,13728,3548,43.90,11.35,8883,3226,28.40,10.32
0500000US01061,01,061,"Geneva County, Alabama",26218,8808,2458,33.60,9.38,9731,2642,37.12,10.08,7679,2410,29.29,9.19
0500000US01063,01,063,"Greene County, Alabama",8111,1533,883,18.90,10.89,3266,1058,40.27,13.05,3312,1048,40.83,12.92
0500000US01065,01,065,"Hale County, Alabama",14597,3431,1569,23.50,10.75,6341,1793,43.44,12.29,4825,1721,33.05,11.79
0500000US01067,01,067,"Henry County, Alabama",17135,4737,1793,27.65,10.46,6961,1965,40.62,11.47,5437,1842,31.73,10.75
0500000US01069,01,069,"Houston County, Alabama",105267,34095,7569,32.39,7.19,42801,7951,40.66,7.55,28371,6934,26.95,6.59
0500000US01071,01,071,"Jackson County, Alabama",51420,15272,4691,29.70,9.12,23252,4991,45.22,9.71,12896,4491,25.08,8.73
0500000US01073,01,073,"Jefferson County, Alabama",648693,223785,66762,34.50,10.29,259699,70954,40.03,10.94,165209,61495,25.47,9.48
0500000US01075,01,075,"Lamar County, Alabama",13753,4016,1423,29.20,10.35,5802,1528,42.19,11.11,3935,1399,28.61,10.17
0500000US01077,01,077,"Lauderdale County, Alabama",91069,29027,9127,31.87,10.02,38198,9465,41.94,10.39,23844,8213,26.18,9.02
0500000US01079,01,079,"Lawrence County, Alabama",32816,10383,3384,31.64,10.31,11619,3610,35.41,11.00,10814,3257,32.95,9.92
0500000US01081,01,081,"Lee County, Alabama",160116,61304,17042,38.29,10.64,69187,17366,43.21,10.85,29625,14151,18.50,8.84
0500000US01083,01,083,"Limestone County, Alabama",96560,35386,8918,36.65,9.24,41676,9452,43.16,9.79,19498,8340,20.19,8.64
0500000US01085,01,085,"Lowndes County, Alabama",9692,1711,983,17.65,10.14,4388,1140,45.27,11.77,3593,1109,37.07,11.44
0500000US01087,01,087,"Macon County, Alabama",16594,3591,1629,21.64,9.82,6940,1918,41.82,11.56,6063,1884,36.54,11.36
0500000US01089,01,089,"Madison County, Alabama",366657,146806,37851,40.04,10.32,145829,38824,39.77,10.59,74022,32295,20.19,8.81
0500000US01091,01,091,"Marengo County, Alabama",18794,4654,1950,24.76,10.37,7296,2201,38.82,11.71,6844,2099,36.42,11.17
0500000US01093,01,093,"Marion County, Alabama",29285,8302,3020,28.35,10.31,13290,3217,45.38,10.98,7693,2907,26.27,9.93
0500000US01095,01,095,"Marshall County, Alabama",96357,30492,7717,31.64,8.01,40133,8353,41.65,8.67,25732,7535,26.70,7.82
0500000US01097,01,097,"Mobile County, Alabama",409100,130178,43213,31.82,10.56,172950,45525,42.28,11.13,105972,39449,25.90,9.64
0500000US01099,01,099,"Monroe County, Alabama",20678,5156,2310,24.93,11.17,7683,2566,37.16,12.41,7839,2421,37.91,11.71
0500000US01101,01,101,"Montgomery County, Alabama",219377,66055,23954,30.11,10.92,92203,26701,42.03,12.17,61119,24282,27.86,11.07
0500000US01103,01,103,"Morgan County, Alabama",118554,36978,11444,31.19,9.65,52282,12244,44.10,10.33,29294,10924,24.71,9.21
0500000US01105,01,105,"Perry County, Alabama",8349,1935,1065,23.18,12.76,3334,1251,39.93,14.98,3080,1225,36.89,14.67
0500000US01107,01,107,"Pickens County, Alabama",18216,4115,1695,22.59,9.31,7662,1895,42.06,10.40,6439,1796,35.35,9.86
