UID,code3,FIPS,Admin2,Province_State,3/31/21
84001001,840,1001,Autauga,Alabama,6589
84001003,840,1003,Baldwin,Alabama,20505
84001005,840,1005,Barbour,Alabama,2227
84001007,840,1007,Bibb,Alabama,2542
84001009,840,1009,Blount,Alabama,6444
84001011,840,1011,Bullock,Alabama,1207
84001013,840,1013,Butler,Alabama,2097
84001015,840,1015,Calhoun,Alabama,14224
84001017,840,1017,Chambers,Alabama,3488
84001019,840,1019,Cherokee,Alabama,1806
84001021,840,1021,Chilton,Alabama,4034
84001023,840,1023,Choctaw,Alabama,583
84001025,840,1025,Clarke,Alabama,3459
84001027,840,1027,Clay,Alabama,1481
84001029,840,1029,Cleburne,Alabama,1452
84001031,840,1031,Coffee,Alabama,5384
84001033,840,1033,Colbert,Alabama,6170
84001035,840,1035,Conecuh,Alabama,1086
84001037,840,1037,Coosa,Alabama,942
84001039,840,1039,Covington,Alabama,4041
84001041,840,1041,Crenshaw,Alabama,1502
84001043,840,1043,Cullman,Alabama,9380
84001045,840,1045,Dale,Alabama,4760
84001047,840,1047,Dallas,Alabama,3513
84001049,840,1049,DeKalb,Alabama,8696
84001051,840,1051,Elmore,Alabama,9953
84001053,840,1053,Escambia,Alabama,3860
84001055,840,1055,Etowah,Alabama,13647
84001057,840,1057,Fayette,Alabama,2063
84001059,840,1059,Franklin,Alabama,4185
84001061,840,1061,Geneva,Alabama,2446
84001063,840,1063,Greene,Alabama,904
84001065,840,1065,Hale,Alabama,2162
84001067,840,1067,Henry,Alabama,1867
84001069,840,1069,Houston,Alabama,10332
84001071,840,1071,Jackson,Alabama,6724
84001073,840,1073,Jefferson,Alabama,74710
84001075,840,1075,Lamar,Alabama,1384
84001077,840,1077,Lauderdale,Alabama,9140
84001079,840,1079,Lawrence,Alabama,2926
84001081,840,1081,Lee,Alabama,15417
84001083,840,1083,Limestone,Alabama,9744
84001085,840,1085,Lowndes,Alabama,1362
84001087,840,1087,Macon,Alabama,1537
84001089,840,1089,Madison,Alabama,33533
84001091,840,1091,Marengo,Alabama,2495
84001093,840,1093,Marion,Alabama,3062
84001095,840,1095,Marshall,Alabama,11854
84001097,840,1097,Mobile,Alabama,37492
84001099,840,1099,Monroe,Alabama,1704
84001101,840,1101,Montgomery,Alabama,23743
84001103,840,1103,Morgan,Alabama,14131
84080001,840,80001,Out of AL,Alabama,0
84001105,840,1105,Perry,Alabama,1079
84001107,840,1107,Pickens,Alabama,2323
84001109,840,1109,Pike,Alabama,3042
84001111,840,1111,Randolph,Alabama,1752
84001113,840,1113,Russell,Alabama,4230
84001117,840,1117,Shelby,Alabama,23048
84001115,840,1115,St. Clair,Alabama,9350
84001119,840,1119,Sumter,Alabama,1024
84001121,840,1121,Talladega,Alabama,7987
84001123,840,1123,Tallapoosa,Alabama,3847
84001125,840,1125,Tuscaloosa,Alabama,25059
84090001,840,90001,Unassigned,Alabama,0
84001127,840,1127,Walker,Alabama,7058
84001129,840,1129,Washington,Alabama,1639
84001131,840,1131,Wilcox,Alabama,1244
84001133,840,1133,Winston,Alabama,2717
84002013,840,2013,Aleutians East,Alaska,364
84002016,840,2016,Aleutians West,Alaska,652
84002020,840,2020,Anchorage,Alaska,28397
84002050,840,2050,Bethel,Alaska,3767
84002060,840,2060,Bristol Bay,Alaska,0
84002164,840,2164,Bristol Bay plus Lake and Peninsula,Alaska,185
84002063,840,2063,Chugach,Alaska,332
84002066,840,2066,Copper River,Alaska,230
84002068,840,2068,Denali,Alaska,88
84002070,840,2070,Dillingham,Alaska,208
84002090,840,2090,Fairbanks North Star,Alaska,6640
84002100,840,2100,Haines,Alaska,29
84002105,840,2105,Hoonah-Angoon,Alaska,0
84002110,840,2110,Juneau,Alaska,1294
84002122,840,2122,Kenai Peninsula,Alaska,4142
84002130,840,2130,Ketchikan Gateway,Alaska,390
84002150,840,2150,Kodiak Island,Alaska,1076
84002158,840,2158,Kusilvak,Alaska,1220
84002170,840,2170,Matanuska-Susitna,Alaska,9967
84002180,840,2180,Nome,Alaska,338
84002185,840,2185,North Slope,Alaska,1050
84002188,840,2188,Northwest Arctic,Alaska,598
84080002,840,80002,Out of AK,Alaska,0
84002195,840,2195,Petersburg,Alaska,153
84002198,840,2198,Prince of Wales-Hyder,Alaska,85
84002220,840,2220,Sitka,Alaska,333
84002230,840,2230,Skagway,Alaska,20
84002240,840,2240,Southeast Fairbanks,Alaska,612
84090002,840,90002,Unassigned,Alaska,276
84002261,840,2261,Valdez-Cordova,Alaska,0
84002275,840,2275,Wrangell,Alaska,33
84002282,840,2282,Yakutat,Alaska,72
84002290,840,2290,Yukon-Koyukuk,Alaska,350
16,16,60,,American Samoa,0
84004001,840,4001,Apache,Arizona,10959
84004003,840,4003,Cochise,Arizona,11600
84004005,840,4005,Coconino,Arizona,17076
84004007,840,4007,Gila,Arizona,6546
84004009,840,4009,Graham,Arizona,5365
84004011,840,4011,Greenlee,Arizona,563
84004012,840,4012,La Paz,Arizona,2443
84004013,840,4013,Maricopa,Arizona,524386
84004015,840,4015,Mohave,Arizona,22122
84004017,840,4017,Navajo,Arizona,15703
84080004,840,80004,Out of AZ,Arizona,0
84004019,840,4019,Pima,Arizona,112677
84004021,840,4021,Pinal,Arizona,49475
84004023,840,4023,Santa Cruz,Arizona,7818
84090004,840,90004,Unassigned,Arizona,0
84004025,840,4025,Yavapai,Arizona,18327
84004027,840,4027,Yuma,Arizona,36751
84005001,840,5001,Arkansas,Arkansas,2076
84005003,840,5003,Ashley,Arkansas,1901
84005005,840,5005,Baxter,Arkansas,3070
84005007,840,5007,Benton,Arkansas,28151
84005009,840,5009,Boone,Arkansas,3742
84005011,840,5011,Bradley,Arkansas,1356
84005013,840,5013,Calhoun,Arkansas,409
84005015,840,5015,Carroll,Arkansas,2749
84005017,840,5017,Chicot,Arkansas,1610
84005019,840,5019,Clark,Arkansas,2081
84005021,840,5021,Clay,Arkansas,1723
84005023,840,5023,Cleburne,Arkansas,1945
84005025,840,5025,Cleveland,Arkansas,938
84005027,840,5027,Columbia,Arkansas,2321
84005029,840,5029,Conway,Arkansas,2189
84005031,840,5031,Craighead,Arkansas,13081
84005033,840,5033,Crawford,Arkansas,6978
84005035,840,5035,Crittenden,Arkansas,5869
84005037,840,5037,Cross,Arkansas,1919
84005039,840,5039,Dallas,Arkansas,756
84005041,840,5041,Desha,Arkansas,1356
84005043,840,5043,Drew,Arkansas,1984
84005045,840,5045,Faulkner,Arkansas,12195
84005047,840,5047,Franklin,Arkansas,1676
84005049,840,5049,Fulton,Arkansas,1100
84005051,840,5051,Garland,Arkansas,10030
84005053,840,5053,Grant,Arkansas,1635
84005055,840,5055,Greene,Arkansas,6009
84005057,840,5057,Hempstead,Arkansas,1980
84005059,840,5059,Hot Spring,Arkansas,4998
84005061,840,5061,Howard,Arkansas,1641
84005063,840,5063,Independence,Arkansas,3715
84005065,840,5065,Izard,Arkansas,1660
84005067,840,5067,Jackson,Arkansas,3207
84005069,840,5069,Jefferson,Arkansas,8742
84005071,840,5071,Johnson,Arkansas,2879
84005073,840,5073,Lafayette,Arkansas,541
84005075,840,5075,Lawrence,Arkansas,2069
84005077,840,5077,Lee,Arkansas,1656
84005079,840,5079,Lincoln,Arkansas,3178
84005081,840,5081,Little River,Arkansas,1222
84005083,840,5083,Logan,Arkansas,2206
84005085,840,5085,Lonoke,Arkansas,7049
84005087,840,5087,Madison,Arkansas,1436
84005089,840,5089,Marion,Arkansas,1032
84005091,840,5091,Miller,Arkansas,4212
84005093,840,5093,Mississippi,Arkansas,5747
84005095,840,5095,Monroe,Arkansas,862
84005097,840,5097,Montgomery,Arkansas,750
84005099,840,5099,Nevada,Arkansas,816
84005101,840,5101,Newton,Arkansas,707
84005103,840,5103,Ouachita,Arkansas,2291
84080005,840,80005,Out of AR,Arkansas,0
84005105,840,5105,Perry,Arkansas,824
84005107,840,5107,Phillips,Arkansas,1737
84005109,840,5109,Pike,Arkansas,997
84005111,840,5111,Poinsett,Arkansas,3114
84005113,840,5113,Polk,Arkansas,1961
84005115,840,5115,Pope,Arkansas,7860
84005117,840,5117,Prairie,Arkansas,887
84005119,840,5119,Pulaski,Arkansas,38317
84005121,840,5121,Randolph,Arkansas,2061
