,FIPS,Admin2,Province_State,3/31/21
0,1001,Autauga,Alabama,99
1,1003,Baldwin,Alabama,301
2,1005,Barbour,Alabama,55
3,1007,Bibb,Alabama,58
4,1009,Blount,Alabama,131
5,1011,Bullock,Alabama,40
6,1013,Butler,Alabama,66
7,1015,Calhoun,Alabama,305
8,1017,Chambers,Alabama,117
9,1019,Cherokee,Alabama,43
10,1021,Chilton,Alabama,109
11,1023,Choctaw,Alabama,24
12,1025,Clarke,Alabama,59
13,1027,Clay,Alabama,54
14,1029,Cleburne,Alabama,41
15,1031,Coffee,Alabama,110
16,1033,Colbert,Alabama,126
17,1035,Conecuh,Alabama,26
18,1037,Coosa,Alabama,24
19,1039,Covington,Alabama,111
20,1041,Crenshaw,Alabama,57
21,1043,Cullman,Alabama,186
22,1045,Dale,Alabama,109
23,1047,Dallas,Alabama,148
24,1049,DeKalb,Alabama,179
25,1051,Elmore,Alabama,202
26,1053,Escambia,Alabama,74
27,1055,Etowah,Alabama,343
28,1057,Fayette,Alabama,59
29,1059,Franklin,Alabama,82
30,1061,Geneva,Alabama,74
31,1063,Greene,Alabama,34
32,1065,Hale,Alabama,73
33,1067,Henry,Alabama,42
34,1069,Houston,Alabama,272
35,1071,Jackson,Alabama,106
36,1073,Jefferson,Alabama,1464
37,1075,Lamar,Alabama,33
38,1077,Lauderdale,Alabama,219
39,1079,Lawrence,Alabama,94
40,1081,Lee,Alabama,166
41,1083,Limestone,Alabama,145
42,1085,Lowndes,Alabama,53
43,1087,Macon,Alabama,47
44,1089,Madison,Alabama,489
45,1091,Marengo,Alabama,58
46,1093,Marion,Alabama,99
47,1095,Marshall,Alabama,217
48,1097,Mobile,Alabama,792
49,1099,Monroe,Alabama,39
50,1101,Montgomery,Alabama,552
51,1103,Morgan,Alabama,263
52,80001,Out of AL,Alabama,0
53,1105,Perry,Alabama,27
54,1107,Pickens,Alabama,57
55,1109,Pike,Alabama,74
56,1111,Randolph,Alabama,41
57,1113,Russell,Alabama,36
58,1117,Shelby,Alabama,232
59,1115,St. Clair,Alabama,232
60,1119,Sumter,Alabama,32
61,1121,Talladega,Alabama,167
62,1123,Tallapoosa,Alabama,144
63,1125,Tuscaloosa,Alabama,434
64,90001,Unassigned,Alabama,0
65,1127,Walker,Alabama,274
66,1129,Washington,Alabama,38
67,1131,Wilcox,Alabama,26
68,1133,Winston,Alabama,71
69,2013,Aleutians East,Alaska,2
70,2016,Aleutians West,Alaska,0
71,2020,Anchorage,Alaska,165
72,2050,Bethel,Alaska,20
73,2060,Bristol Bay,Alaska,0
74,2164,Bristol Bay plus Lake and Peninsula,Alaska,0
75,2063,Chugach,Alaska,3
76,2066,Copper River,Alaska,0
77,2068,Denali,Alaska,0
78,2070,Dillingham,Alaska,1
79,2090,Fairbanks North Star,Alaska,32
80,2100,Haines,Alaska,0
81,2105,Hoonah-Angoon,Alaska,0
82,2110,Juneau,Alaska,5
83,2122,Kenai Peninsula,Alaska,22
84,2130,Ketchikan Gateway,Alaska,2
85,2150,Kodiak Island,Alaska,5
86,2158,Kusilvak,Alaska,3
87,2170,Matanuska-Susitna,Alaska,37
88,2180,Nome,Alaska,0
89,2185,North Slope,Alaska,4
90,2188,Northwest Arctic,Alaska,2
91,80002,Out of AK,Alaska,0
92,2195,Petersburg,Alaska,1
93,2198,Prince of Wales-Hyder,Alaska,1
94,2220,Sitka,Alaska,0
95,2230,Skagway,Alaska,0
96,2240,Southeast Fairbanks,Alaska,3
97,90002,Unassigned,Alaska,0
98,2261,Valdez-Cordova,Alaska,0
99,2275,Wrangell,Alaska,0
100,2282,Yakutat,Alaska,1
101,2290,Yukon-Koyukuk,Alaska,4
103,4001,Apache,Arizona,413
104,4003,Cochise,Arizona,280
105,4005,Coconino,Arizona,324
106,4007,Gila,Arizona,219
107,4009,Graham,Arizona,76
108,4011,Greenlee,Arizona,10
109,4012,La Paz,Arizona,77
110,4013,Maricopa,Arizona,9673
111,4015,Mohave,Arizona,687
112,4017,Navajo,Arizona,521
113,80004,Out of AZ,Arizona,0
114,4019,Pima,Arizona,2351
115,4021,Pinal,Arizona,852
116,4023,Santa Cruz,Arizona,173
117,90004,Unassigned,Arizona,0
118,4025,Yavapai,Arizona,489
119,4027,Yuma,Arizona,822
120,5001,Arkansas,Arkansas,36
121,5003,Ashley,Arkansas,33
122,5005,Baxter,Arkansas,100
123,5007,Benton,Arkansas,406
124,5009,Boone,Arkansas,79
125,5011,Bradley,Arkansas,32
126,5013,Calhoun,Arkansas,3
127,5015,Carroll,Arkansas,44
128,5017,Chicot,Arkansas,39
129,5019,Clark,Arkansas,40
130,5021,Clay,Arkansas,50
131,5023,Cleburne,Arkansas,72
132,5025,Cleveland,Arkansas,25
133,5027,Columbia,Arkansas,55
134,5029,Conway,Arkansas,32
135,5031,Craighead,Arkansas,174
136,5033,Crawford,Arkansas,115
137,5035,Crittenden,Arkansas,95
138,5037,Cross,Arkansas,49
139,5039,Dallas,Arkansas,15
140,5041,Desha,Arkansas,24
141,5043,Drew,Arkansas,39
142,5045,Faulkner,Arkansas,157
143,5047,Franklin,Arkansas,39
144,5049,Fulton,Arkansas,47
145,5051,Garland,Arkansas,255
146,5053,Grant,Arkansas,32
147,5055,Greene,Arkansas,75
148,5057,Hempstead,Arkansas,19
149,5059,Hot Spring,Arkansas,70
150,5061,Howard,Arkansas,24
151,5063,Independence,Arkansas,120
152,5065,Izard,Arkansas,41
153,5067,Jackson,Arkansas,38
154,5069,Jefferson,Arkansas,163
155,5071,Johnson,Arkansas,37
156,5073,Lafayette,Arkansas,9
157,5075,Lawrence,Arkansas,43
158,5077,Lee,Arkansas,34
159,5079,Lincoln,Arkansas,48
160,5081,Little River,Arkansas,40
161,5083,Logan,Arkansas,22
162,5085,Lonoke,Arkansas,116
163,5087,Madison,Arkansas,22
164,5089,Marion,Arkansas,30
165,5091,Miller,Arkansas,36
166,5093,Mississippi,Arkansas,106
167,5095,Monroe,Arkansas,17
168,5097,Montgomery,Arkansas,32
169,5099,Nevada,Arkansas,24
170,5101,Newton,Arkansas,26
171,5103,Ouachita,Arkansas,60
172,80005,Out of AR,Arkansas,0
173,5105,Perry,Arkansas,10
174,5107,Phillips,Arkansas,37
175,5109,Pike,Arkansas,22
176,5111,Poinsett,Arkansas,76
177,5113,Polk,Arkansas,70
178,5115,Pope,Arkansas,106
179,5117,Prairie,Arkansas,20
180,5119,Pulaski,Arkansas,627
181,5121,Randolph,Arkansas,47
182,5125,Saline,Arkansas,165
183,5127,Scott,Arkansas,14
184,5129,Searcy,Arkansas,16
185,5131,Sebastian,Arkansas,272
186,5133,Sevier,Arkansas,24
187,5135,Sharp,Arkansas,45
188,5123,St. Francis,Arkansas,41
189,5137,Stone,Arkansas,29
190,90005,Unassigned,Arkansas,0
191,5139,Union,Arkansas,110
192,5141,Van Buren,Arkansas,21
193,5143,Washington,Arkansas,343
194,5145,White,Arkansas,116
195,5147,Woodruff,Arkansas,12
196,5149,Yell,Arkansas,64
197,6001,Alameda,California,1215
198,6003,Alpine,California,0
199,6005,Amador,California,45
200,6007,Butte,California,193
201,6009,Calaveras,California,51
202,6011,Colusa,California,16
203,6013,Contra Costa,California,767
204,6015,Del Norte,California,6
205,6017,El Dorado,California,108
206,6019,Fresno,California,1609
207,6021,Glenn,California,25
208,6023,Humboldt,California,36
209,6025,Imperial,California,715
210,6027,Inyo,California,38
211,6029,Kern,California,1253
212,6031,Kings,California,241
213,6033,Lake,California,43
214,6035,Lassen,California,24
215,6037,Los Angeles,California,23144
216,6039,Madera,California,234
217,6041,Marin,California,221
218,6043,Mariposa,California,7
219,6045,Mendocino,California,46
220,6047,Merced,California,436
221,6049,Modoc,California,4
222,6051,Mono,California,4
223,6053,Monterey,California,341
224,6055,Napa,California,78
225,6057,Nevada,California,74
226,6059,Orange,California,4744
227,80006,Out of CA,California,0
228,6061,Placer,California,274
229,6063,Plumas,California,6
230,6065,Riverside,California,4315
231,6067,Sacramento,California,1603
232,6069,San Benito,California,61
233,6071,San Bernardino,California,4343
234,6073,San Diego,California,3555
235,6075,San Francisco,California,474
236,6077,San Joaquin,California,1301
237,6079,San Luis Obispo,California,256
238,6081,San Mateo,California,547
239,6083,Santa Barbara,California,441
240,6085,Santa Clara,California,1874
241,6087,Santa Cruz,California,201
242,6089,Shasta,California,207
243,6091,Sierra,California,0
244,6093,Siskiyou,California,16
245,6095,Solano,California,232
246,6097,Sonoma,California,311
247,6099,Stanislaus,California,1000
248,6101,Sutter,California,106
249,6103,Tehama,California,54
250,6105,Trinity,California,5
251,6107,Tulare,California,815
252,6109,Tuolumne,California,62
253,90006,Unassigned,California,0
254,6111,Ventura,California,981
255,6113,Yolo,California,198
256,6115,Yuba,California,42
257,8001,Adams,Colorado,638
258,8003,Alamosa,Colorado,29
